trial_id,seed,scenario,warm_start_scale,shrunk_size,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,ci_width,relative_error
193,1528367,subset,0,25,25,25,19,25,true,6,0.0000
194,1536286,subset,0,25,25,25,19,25,true,6,0.0000
195,1544205,subset,0,25,25,25,19,25,true,6,0.0000
196,1552124,subset,0,25,25,25,19,25,true,6,0.0000
197,1560043,subset,0,25,25,25,19,25,true,6,0.0000
198,1567962,subset,0,25,25,25,19,25,true,6,0.0000
199,1575881,subset,0,25,25,25,19,25,true,6,0.0000
200,1583800,subset,0,25,25,25,19,25,true,6,0.0000
201,1591719,subset,0,25,25,25,19,25,true,6,0.0000
202,1599638,subset,0,25,25,25,19,25,true,6,0.0000
203,1607557,subset,0,25,25,25,19,25,true,6,0.0000
204,1615476,subset,0,25,25,25,19,25,true,6,0.0000
205,1623395,subset,0,25,25,25,19,25,true,6,0.0000
206,1631314,subset,0,25,25,25,19,25,true,6,0.0000
207,1639233,subset,0,25,25,25,19,25,true,6,0.0000
208,1647152,subset,0,25,25,25,19,25,true,6,0.0000
209,1655071,subset,0,25,25,25,19,25,true,6,0.0000
210,1662990,subset,0,25,25,25,19,25,true,6,0.0000
211,1670909,subset,0,25,25,25,19,25,true,6,0.0000
212,1678828,subset,0,25,25,25,19,25,true,6,0.0000
213,1686747,subset,0,25,25,25,19,25,true,6,0.0000
214,1694666,subset,0,25,25,25,19,25,true,6,0.0000
215,1702585,subset,0,25,25,25,19,25,true,6,0.0000
216,1710504,subset,0,25,25,25,19,25,true,6,0.0000
217,1718423,subset,0,25,25,25,19,25,true,6,0.0000
218,1726342,subset,0,25,25,25,19,25,true,6,0.0000
219,1734261,subset,0,25,25,25,19,25,true,6,0.0000
220,1742180,subset,0,25,25,25,19,25,true,6,0.0000
221,1750099,subset,0,25,25,25,19,25,true,6,0.0000
222,1758018,subset,0,25,25,25,19,25,true,6,0.0000
223,1765937,subset,0,25,25,25,19,25,true,6,0.0000
224,1773856,subset,0,25,25,25,19,25,true,6,0.0000
225,1781775,subset,0,25,25,25,19,25,true,6,0.0000
226,1789694,subset,0,25,25,25,19,25,true,6,0.0000
227,1797613,subset,0,25,25,25,19,25,true,6,0.0000
228,1805532,subset,0,25,25,25,19,25,true,6,0.0000
229,1813451,subset,0,25,25,25,19,25,true,6,0.0000
230,1821370,subset,0,25,25,25,19,25,true,6,0.0000
231,1829289,subset,0,25,25,25,19,25,true,6,0.0000
232,1837208,subset,0,25,25,25,19,25,true,6,0.0000
233,1845127,subset,0,25,25,25,19,25,true,6,0.0000
234,1853046,subset,0,25,25,25,19,25,true,6,0.0000
235,1860965,subset,0,25,25,25,19,25,true,6,0.0000
236,1868884,subset,0,25,25,25,19,25,true,6,0.0000
237,1876803,subset,0,25,25,25,19,25,true,6,0.0000
238,1884722,subset,0,25,25,25,19,25,true,6,0.0000
239,1892641,subset,0,25,25,25,19,25,true,6,0.0000
240,1900560,subset,0,25,25,25,19,25,true,6,0.0000
241,1908479,subset,0,25,25,25,19,25,true,6,0.0000
242,1916398,subset,0,25,25,25,19,25,true,6,0.0000
243,1924317,subset,0,25,25,25,19,25,true,6,0.0000
244,1932236,subset,0,25,25,25,19,25,true,6,0.0000
245,1940155,subset,0,25,25,25,19,25,true,6,0.0000
246,1948074,subset,0,25,25,25,19,25,true,6,0.0000
247,1955993,subset,0,25,25,25,19,25,true,6,0.0000
248,1963912,subset,0,25,25,25,19,25,true,6,0.0000
249,1971831,subset,0,25,25,25,19,25,true,6,0.0000
250,1979750,subset,0,25,25,25,19,25,true,6,0.0000
251,1987669,subset,0,25,25,25,19,25,true,6,0.0000
252,1995588,subset,0,25,25,25,19,25,true,6,0.0000
253,2003507,subset,0,25,25,25,19,25,true,6,0.0000
254,2011426,subset,0,25,25,25,19,25,true,6,0.0000
255,2019345,subset,0,25,25,25,19,25,true,6,0.0000
256,2027264,subset,0,25,25,25,19,25,true,6,0.0000
257,2035183,subset,0,25,25,25,19,25,true,6,0.0000
258,2043102,subset,0,25,25,25,19,25,true,6,0.0000
259,2051021,subset,0,25,25,25,19,25,true,6,0.0000
260,2058940,subset,0,25,25,25,19,25,true,6,0.0000
261,2066859,subset,0,25,25,25,19,25,true,6,0.0000
262,2074778,subset,0,25,25,25,19,25,true,6,0.0000
263,2082697,subset,0,25,25,25,19,25,true,6,0.0000
264,2090616,subset,0,25,25,25,19,25,true,6,0.0000
265,2098535,subset,0,25,25,25,19,25,true,6,0.0000
266,2106454,subset,0,25,25,25,19,25,true,6,0.0000
267,2114373,subset,0,25,25,25,19,25,true,6,0.0000
268,2122292,subset,0,25,25,25,19,25,true,6,0.0000
269,2130211,subset,0,25,25,25,19,25,true,6,0.0000
270,2138130,subset,0,25,25,25,19,25,true,6,0.0000
271,2146049,subset,0,25,25,25,19,25,true,6,0.0000
272,2153968,subset,0,25,25,25,19,25,true,6,0.0000
273,2161887,subset,0,25,25,25,19,25,true,6,0.0000
274,2169806,subset,0,25,25,25,19,25,true,6,0.0000
275,2177725,subset,0,25,25,25,19,25,true,6,0.0000
276,2185644,subset,0,25,25,25,19,25,true,6,0.0000
277,2193563,subset,0,25,25,25,19,25,true,6,0.0000
278,2201482,subset,0,25,25,25,19,25,true,6,0.0000
279,2209401,subset,0,25,25,25,19,25,true,6,0.0000
280,2217320,subset,0,25,25,25,19,25,true,6,0.0000
281,2225239,subset,0,25,25,25,19,25,true,6,0.0000
282,2233158,subset,0,25,25,25,19,25,true,6,0.0000
283,2241077,subset,0,25,25,25,19,25,true,6,0.0000
284,2248996,subset,0,25,25,25,19,25,true,6,0.0000
285,2256915,subset,0,25,25,25,19,25,true,6,0.0000
286,2264834,subset,0,25,25,25,19,25,true,6,0.0000
287,2272753,subset,0,25,25,25,19,25,true,6,0.0000
288,2280672,subset,0,25,25,25,19,25,true,6,0.0000
289,2288591,subset,0,25,25,25,19,25,true,6,0.0000
290,2296510,subset,0,25,25,25,19,25,true,6,0.0000
291,2304429,subset,0,25,25,25,19,25,true,6,0.0000
292,2312348,subset,0,25,25,25,19,25,true,6,0.0000
293,2320267,subset,0,25,25,25,19,25,true,6,0.0000
294,2328186,subset,0,25,25,25,19,25,true,6,0.0000
295,2336105,subset,0,25,25,25,19,25,true,6,0.0000
296,2344024,subset,0,25,25,25,19,25,true,6,0.0000
297,2351943,subset,0,25,25,25,19,25,true,6,0.0000
298,2359862,subset,0,25,25,25,19,25,true,6,0.0000
299,2367781,subset,0,25,25,25,19,25,true,6,0.0000
300,2375700,subset,0,25,25,25,19,25,true,6,0.0000
301,2383619,subset,0,25,25,25,19,25,true,6,0.0000
302,2391538,subset,0,25,25,25,19,25,true,6,0.0000
303,2399457,subset,0,25,25,25,19,25,true,6,0.0000
304,2407376,subset,0,25,25,25,19,25,true,6,0.0000
305,2415295,subset,0,25,25,25,19,25,true,6,0.0000
306,2423214,subset,0,25,25,25,19,25,true,6,0.0000
307,2431133,subset,0,25,25,25,19,25,true,6,0.0000
308,2439052,subset,0,25,25,25,19,25,true,6,0.0000
309,2446971,subset,0,25,25,25,19,25,true,6,0.0000
310,2454890,subset,0,25,25,25,19,25,true,6,0.0000
311,2462809,subset,0,25,25,25,19,25,true,6,0.0000
312,2470728,subset,0,25,25,25,19,25,true,6,0.0000
313,2478647,subset,0,25,25,25,19,25,true,6,0.0000
314,2486566,subset,0,25,25,25,19,25,true,6,0.0000
315,2494485,subset,0,25,25,25,19,25,true,6,0.0000
316,2502404,subset,0,25,25,25,19,25,true,6,0.0000
