trial_id,seed,map_type,base_size,reported_size,actual_distinct_values,size_ratio,elapsed_micros
80,633520,bijective,100,100,100,1.000000,956
81,641439,bijective,100,100,100,1.000000,802
82,649358,bijective,100,100,100,1.000000,851
83,657277,bijective,100,100,100,1.000000,820
84,665196,bijective,100,100,100,1.000000,982
85,673115,bijective,100,100,100,1.000000,838
86,681034,bijective,100,100,100,1.000000,837
87,688953,bijective,100,100,100,1.000000,863
88,696872,bijective,100,100,100,1.000000,978
89,704791,bijective,100,100,100,1.000000,811
90,712710,bijective,100,100,100,1.000000,912
91,720629,bijective,100,100,100,1.000000,859
92,728548,bijective,100,100,100,1.000000,920
93,736467,bijective,100,100,100,1.000000,803
94,744386,bijective,100,100,100,1.000000,796
95,752305,bijective,100,100,100,1.000000,798
96,760224,bijective,100,100,100,1.000000,845
97,768143,bijective,100,100,100,1.000000,799
98,776062,bijective,100,100,100,1.000000,809
99,783981,bijective,100,100,100,1.000000,802
100,791900,bijective,100,100,100,1.000000,863
101,799819,bijective,100,100,100,1.000000,798
102,807738,bijective,100,100,100,1.000000,841
103,815657,bijective,100,100,100,1.000000,825
104,823576,bijective,100,100,100,1.000000,920
105,831495,bijective,100,100,100,1.000000,803
106,839414,bijective,100,100,100,1.000000,803
107,847333,bijective,100,100,100,1.000000,813
108,855252,bijective,100,100,100,1.000000,855
109,863171,bijective,100,100,100,1.000000,802
110,871090,bijective,100,100,100,1.000000,809
111,879009,bijective,100,100,100,1.000000,812
112,886928,bijective,100,100,100,1.000000,850
113,894847,bijective,100,100,100,1.000000,815
114,902766,bijective,100,100,100,1.000000,826
115,910685,bijective,100,100,100,1.000000,820
116,918604,bijective,100,100,100,1.000000,922
117,926523,bijective,100,100,100,1.000000,817
118,934442,bijective,100,100,100,1.000000,835
119,942361,bijective,100,100,100,1.000000,863
120,950280,bijective,100,100,100,1.000000,898
121,958199,bijective,100,100,100,1.000000,812
122,966118,bijective,100,100,100,1.000000,807
123,974037,bijective,100,100,100,1.000000,812
124,981956,bijective,100,100,100,1.000000,865
125,989875,bijective,100,100,100,1.000000,809
126,997794,bijective,100,100,100,1.000000,815
127,1005713,bijective,100,100,100,1.000000,834
128,1013632,bijective,100,100,100,1.000000,853
