trial_id,seed,algorithm,start_value,threshold,budget,final_value,distance,attempts_used,converged,rejections
232,1837208,random-100,100,10,100,10,0,88,1,86
233,1845127,random-100,100,10,100,10,0,6,1,5
234,1853046,random-100,100,10,100,10,0,14,1,13
235,1860965,random-100,100,10,100,10,0,89,1,87
236,1868884,random-100,100,10,100,10,0,97,1,95
237,1876803,random-100,100,10,100,10,0,11,1,10
238,1884722,random-100,100,10,100,10,0,9,1,8
239,1892641,random-100,100,10,100,10,0,15,1,14
240,1900560,random-100,100,10,100,10,0,94,1,92
241,1908479,random-100,100,10,100,10,0,11,1,10
242,1916398,random-100,100,10,100,10,0,10,1,9
243,1924317,random-100,100,10,100,10,0,91,1,89
244,1932236,random-100,100,10,100,10,0,95,1,93
245,1940155,random-100,100,10,100,10,0,13,1,12
246,1948074,random-100,100,10,100,10,0,10,1,9
247,1955993,random-100,100,10,100,10,0,10,1,9
248,1963912,random-100,100,10,100,10,0,95,1,93
249,1971831,random-100,100,10,100,10,0,89,1,87
250,1979750,random-100,100,10,100,10,0,91,1,89
251,1987669,random-100,100,10,100,10,0,90,1,88
252,1995588,random-100,100,10,100,10,0,9,1,8
253,2003507,random-100,100,10,100,10,0,15,1,14
254,2011426,random-100,100,10,100,10,0,92,1,90
255,2019345,random-100,100,10,100,10,0,10,1,9
256,2027264,random-100,100,10,100,10,0,6,1,5
257,2035183,random-100,100,10,100,10,0,11,1,10
258,2043102,random-100,100,10,100,10,0,97,1,95
259,2051021,random-100,100,10,100,10,0,15,1,14
260,2058940,random-100,100,10,100,10,0,10,1,9
261,2066859,random-100,100,10,100,10,0,76,1,74
262,2074778,random-100,100,10,100,10,0,14,1,13
263,2082697,random-100,100,10,100,10,0,8,1,7
264,2090616,random-100,100,10,100,10,0,11,1,10
265,2098535,random-100,100,10,100,10,0,94,1,92
266,2106454,random-100,100,10,100,11,1,100,0,99
267,2114373,random-100,100,10,100,10,0,13,1,12
268,2122292,random-100,100,10,100,10,0,12,1,11
269,2130211,random-100,100,10,100,10,0,9,1,8
270,2138130,random-100,100,10,100,10,0,95,1,93
271,2146049,random-100,100,10,100,10,0,87,1,85
272,2153968,random-100,100,10,100,10,0,11,1,10
273,2161887,random-100,100,10,100,10,0,6,1,5
274,2169806,random-100,100,10,100,10,0,93,1,91
275,2177725,random-100,100,10,100,10,0,16,1,15
276,2185644,random-100,100,10,100,10,0,9,1,8
277,2193563,random-100,100,10,100,10,0,91,1,89
278,2201482,random-100,100,10,100,10,0,14,1,13
279,2209401,random-100,100,10,100,10,0,9,1,8
280,2217320,random-100,100,10,100,10,0,94,1,92
281,2225239,random-100,100,10,100,10,0,13,1,12
282,2233158,random-100,100,10,100,10,0,94,1,92
283,2241077,random-100,100,10,100,10,0,10,1,9
284,2248996,random-100,100,10,100,10,0,14,1,13
285,2256915,random-100,100,10,100,10,0,92,1,90
286,2264834,random-100,100,10,100,10,0,10,1,9
287,2272753,random-100,100,10,100,10,0,8,1,7
288,2280672,random-100,100,10,100,10,0,14,1,13
289,2288591,random-100,100,10,100,10,0,13,1,12
290,2296510,random-100,100,10,100,10,0,15,1,14
291,2304429,random-100,100,10,100,10,0,82,1,80
292,2312348,random-100,100,10,100,10,0,85,1,83
293,2320267,random-100,100,10,100,10,0,90,1,88
294,2328186,random-100,100,10,100,10,0,9,1,8
295,2336105,random-100,100,10,100,10,0,92,1,90
296,2344024,random-100,100,10,100,10,0,87,1,85
297,2351943,random-100,100,10,100,10,0,10,1,9
298,2359862,random-100,100,10,100,10,0,90,1,88
299,2367781,random-100,100,10,100,10,0,14,1,13
300,2375700,random-100,100,10,200,10,0,13,1,12
301,2383619,random-100,100,10,200,10,0,91,1,89
302,2391538,random-100,100,10,200,10,0,11,1,10
303,2399457,random-100,100,10,200,10,0,12,1,11
304,2407376,random-100,100,10,200,10,0,95,1,93
305,2415295,random-100,100,10,200,10,0,13,1,12
306,2423214,random-100,100,10,200,10,0,7,1,6
307,2431133,random-100,100,10,200,10,0,11,1,10
308,2439052,random-100,100,10,200,10,0,9,1,8
309,2446971,random-100,100,10,200,10,0,10,1,9
310,2454890,random-100,100,10,200,10,0,99,1,97
311,2462809,random-100,100,10,200,10,0,10,1,9
312,2470728,random-100,100,10,200,10,0,7,1,6
313,2478647,random-100,100,10,200,10,0,98,1,96
314,2486566,random-100,100,10,200,10,0,94,1,92
315,2494485,random-100,100,10,200,10,0,94,1,92
316,2502404,random-100,100,10,200,10,0,13,1,12
317,2510323,random-100,100,10,200,10,0,8,1,7
318,2518242,random-100,100,10,200,10,0,103,1,101
319,2526161,random-100,100,10,200,10,0,93,1,91
320,2534080,random-100,100,10,200,10,0,100,1,98
321,2541999,random-100,100,10,200,10,0,16,1,15
322,2549918,random-100,100,10,200,10,0,11,1,10
323,2557837,random-100,100,10,200,10,0,104,1,102
324,2565756,random-100,100,10,200,10,0,9,1,8
325,2573675,random-100,100,10,200,10,0,13,1,12
326,2581594,random-100,100,10,200,10,0,89,1,87
327,2589513,random-100,100,10,200,10,0,101,1,99
328,2597432,random-100,100,10,200,10,0,6,1,5
329,2605351,random-100,100,10,200,10,0,11,1,10
330,2613270,random-100,100,10,200,10,0,105,1,103
331,2621189,random-100,100,10,200,10,0,9,1,8
332,2629108,random-100,100,10,200,10,0,102,1,100
333,2637027,random-100,100,10,200,10,0,100,1,98
334,2644946,random-100,100,10,200,10,0,97,1,95
335,2652865,random-100,100,10,200,10,0,9,1,8
336,2660784,random-100,100,10,200,10,0,8,1,7
337,2668703,random-100,100,10,200,10,0,13,1,12
338,2676622,random-100,100,10,200,10,0,109,1,107
339,2684541,random-100,100,10,200,10,0,11,1,10
340,2692460,random-100,100,10,200,10,0,106,1,104
341,2700379,random-100,100,10,200,10,0,87,1,85
342,2708298,random-100,100,10,200,10,0,100,1,98
343,2716217,random-100,100,10,200,10,0,86,1,84
344,2724136,random-100,100,10,200,10,0,111,1,109
345,2732055,random-100,100,10,200,10,0,3,1,2
346,2739974,random-100,100,10,200,10,0,6,1,5
347,2747893,random-100,100,10,200,10,0,14,1,13
348,2755812,random-100,100,10,200,10,0,13,1,12
349,2763731,random-100,100,10,200,10,0,14,1,13
350,2771650,random-100,100,10,200,10,0,12,1,11
351,2779569,random-100,100,10,200,10,0,19,1,18
352,2787488,random-100,100,10,200,10,0,10,1,9
353,2795407,random-100,100,10,200,10,0,15,1,14
354,2803326,random-100,100,10,200,10,0,11,1,10
355,2811245,random-100,100,10,200,10,0,104,1,102
356,2819164,random-100,100,10,200,10,0,12,1,11
357,2827083,random-100,100,10,200,10,0,8,1,7
358,2835002,random-100,100,10,200,10,0,85,1,83
359,2842921,random-100,100,10,200,10,0,6,1,5
360,2850840,random-100,100,10,200,10,0,100,1,98
361,2858759,random-100,100,10,200,10,0,7,1,6
362,2866678,random-100,100,10,200,10,0,98,1,96
363,2874597,random-100,100,10,200,10,0,8,1,7
364,2882516,random-100,100,10,200,10,0,10,1,9
365,2890435,random-100,100,10,200,10,0,13,1,12
366,2898354,random-100,100,10,200,10,0,10,1,9
367,2906273,random-100,100,10,200,10,0,10,1,9
368,2914192,random-100,100,10,200,10,0,87,1,85
369,2922111,random-100,100,10,200,10,0,14,1,13
370,2930030,random-100,100,10,200,10,0,92,1,90
371,2937949,random-100,100,10,200,10,0,8,1,7
372,2945868,random-100,100,10,200,10,0,108,1,106
373,2953787,random-100,100,10,200,10,0,99,1,97
374,2961706,random-100,100,10,200,10,0,10,1,9
375,2969625,random-100,100,10,200,10,0,7,1,6
376,2977544,random-100,100,10,200,10,0,8,1,7
377,2985463,random-100,100,10,200,10,0,100,1,98
378,2993382,random-100,100,10,200,10,0,5,1,4
379,3001301,random-100,100,10,200,10,0,12,1,11
380,3009220,random-100,100,10,200,10,0,14,1,13
381,3017139,random-100,100,10,200,10,0,100,1,98
382,3025058,random-100,100,10,200,10,0,101,1,99
383,3032977,random-100,100,10,200,10,0,7,1,6
384,3040896,random-100,100,10,200,10,0,16,1,15
385,3048815,random-100,100,10,200,10,0,98,1,96
386,3056734,random-100,100,10,200,10,0,100,1,98
387,3064653,random-100,100,10,200,10,0,10,1,9
388,3072572,random-100,100,10,200,10,0,12,1,11
389,3080491,random-100,100,10,200,10,0,10,1,9
390,3088410,random-100,100,10,200,10,0,110,1,108
391,3096329,random-100,100,10,200,10,0,8,1,7
392,3104248,random-100,100,10,200,10,0,12,1,11
393,3112167,random-100,100,10,200,10,0,13,1,12
