trial_id,seed,bug_type,sampling_mode,bug_detected,detected_by_corner_case,tests_run,corner_cases_used,elapsed_micros
196,1552124,zero_boundary,corner_only,true,,1,3,1
197,1560043,zero_boundary,corner_only,true,,1,3,1
198,1567962,zero_boundary,corner_only,true,,1,3,1
199,1575881,zero_boundary,corner_only,true,,1,3,1
200,1583800,zero_boundary,corner_only,true,,1,3,1
201,1591719,zero_boundary,corner_only,true,,1,3,1
202,1599638,zero_boundary,corner_only,true,,1,3,1
203,1607557,zero_boundary,corner_only,true,,1,3,1
204,1615476,zero_boundary,corner_only,true,,1,3,1
205,1623395,zero_boundary,corner_only,true,,1,3,1
206,1631314,zero_boundary,corner_only,true,,1,3,1
207,1639233,zero_boundary,corner_only,true,,1,3,1
208,1647152,zero_boundary,corner_only,true,,1,3,1
209,1655071,zero_boundary,corner_only,true,,1,3,1
210,1662990,zero_boundary,corner_only,true,,1,3,1
211,1670909,zero_boundary,corner_only,true,,1,3,1
212,1678828,zero_boundary,corner_only,true,,1,3,1
213,1686747,zero_boundary,corner_only,true,,1,3,1
214,1694666,zero_boundary,corner_only,true,,1,3,1
215,1702585,zero_boundary,corner_only,true,,1,3,1
216,1710504,zero_boundary,corner_only,true,,1,3,1
217,1718423,zero_boundary,corner_only,true,,1,3,1
218,1726342,zero_boundary,corner_only,true,,1,3,1
219,1734261,zero_boundary,corner_only,true,,1,3,1
220,1742180,zero_boundary,corner_only,true,,1,3,1
221,1750099,zero_boundary,corner_only,true,,1,3,1
222,1758018,zero_boundary,corner_only,true,,1,3,1
223,1765937,zero_boundary,corner_only,true,,1,3,1
224,1773856,zero_boundary,corner_only,true,,1,3,1
225,1781775,zero_boundary,corner_only,true,,1,3,1
226,1789694,zero_boundary,corner_only,true,,1,3,1
227,1797613,zero_boundary,corner_only,true,,1,3,1
228,1805532,zero_boundary,corner_only,true,,1,3,1
229,1813451,zero_boundary,corner_only,true,,1,3,1
230,1821370,zero_boundary,corner_only,true,,1,3,1
231,1829289,zero_boundary,corner_only,true,,1,3,1
232,1837208,zero_boundary,corner_only,true,,1,3,1
233,1845127,zero_boundary,corner_only,true,,1,3,1
234,1853046,zero_boundary,corner_only,true,,1,3,1
235,1860965,zero_boundary,corner_only,true,,1,3,1
236,1868884,zero_boundary,corner_only,true,,1,3,1
237,1876803,zero_boundary,corner_only,true,,1,3,1
238,1884722,zero_boundary,corner_only,true,,1,3,1
