trial_id,seed,quantifier_order,initial_a,initial_b,initial_c,final_a,final_b,final_c,elapsed_micros
115,910685,abc,24,76,65,0,54,97,25197
116,918604,abc,12,70,70,0,54,97,25069
117,926523,abc,97,18,70,0,52,99,15154
118,934442,abc,98,71,4,0,56,95,14339
119,942361,abc,37,37,84,0,53,99,21071
120,950280,abc,99,46,75,0,54,97,16526
121,958199,abc,32,90,88,0,54,97,23628
122,966118,abc,27,84,89,0,54,97,18139
123,974037,abc,68,100,29,0,51,100,18985
124,981956,abc,17,88,91,0,52,99,20864
125,989875,abc,69,49,50,0,52,99,14426
126,997794,abc,69,46,90,0,51,100,14513
127,1005713,abc,36,64,51,0,52,99,21920
128,1013632,abc,16,63,92,0,52,99,14839
129,1021551,abc,5,63,86,0,54,97,25465
130,1029470,abc,56,46,87,0,53,99,12650
131,1037389,abc,64,26,96,0,53,99,22416
132,1045308,abc,71,67,67,0,52,100,25212
133,1053227,abc,93,27,39,0,53,99,14704
134,1061146,abc,39,93,58,0,51,100,15405
135,1069065,abc,68,81,9,0,52,99,22922
136,1076984,abc,60,58,35,0,52,99,22556
137,1084903,abc,52,61,38,0,51,100,12457
138,1092822,abc,37,44,84,0,51,100,24712
139,1100741,abc,90,78,40,0,54,97,15881
140,1108660,abc,12,88,70,0,56,96,13141
141,1116579,abc,39,44,83,0,53,99,21924
142,1124498,abc,71,68,36,0,53,98,22942
143,1132417,abc,97,61,98,0,57,96,12958
144,1140336,abc,93,33,83,0,52,99,25010
145,1148255,abc,18,87,65,0,53,98,11376
146,1156174,abc,26,59,68,0,54,97,21173
147,1164093,abc,38,46,80,0,52,99,13135
148,1172012,abc,81,68,48,0,54,97,21156
149,1179931,abc,54,89,22,0,54,98,12066
150,1187850,abc,33,42,95,0,53,98,21597
151,1195769,abc,3,97,81,0,56,95,16460
152,1203688,abc,48,52,86,0,51,100,25677
153,1211607,abc,33,21,98,0,52,99,15613
154,1219526,abc,2,100,100,0,54,97,22044
155,1227445,abc,60,85,67,0,51,100,12705
156,1235364,abc,50,72,51,0,52,99,23363
157,1243283,abc,77,85,14,0,53,98,12923
158,1251202,abc,5,93,67,0,51,100,15681
