trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,warmup_samples,relative_error
123,974037,filter_10pct,100,105,93.00,117.00,24.00,true,200,0.050000
124,981956,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
125,989875,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
126,997794,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
127,1005713,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
128,1013632,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
129,1021551,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
130,1029470,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
131,1037389,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
132,1045308,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
133,1053227,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
134,1061146,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
135,1069065,filter_10pct,100,90,81.00,101.00,20.00,true,200,0.100000
136,1076984,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
137,1084903,filter_10pct,100,99,88.00,110.00,22.00,true,200,0.010000
138,1092822,filter_10pct,100,105,94.00,117.00,23.00,true,200,0.050000
139,1100741,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
140,1108660,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
141,1116579,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
142,1124498,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
143,1132417,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
144,1140336,filter_10pct,100,100,89.00,111.00,22.00,true,200,0.000000
145,1148255,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
146,1156174,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
147,1164093,filter_10pct,100,97,86.00,108.00,22.00,true,200,0.030000
148,1172012,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
149,1179931,filter_10pct,100,92,83.00,104.00,21.00,true,200,0.080000
150,1187850,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
151,1195769,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
152,1203688,filter_10pct,100,109,97.00,122.00,25.00,true,200,0.090000
153,1211607,filter_10pct,100,105,94.00,117.00,23.00,true,200,0.050000
154,1219526,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
155,1227445,filter_10pct,100,87,78.00,98.00,20.00,false,200,0.130000
156,1235364,filter_10pct,100,105,94.00,117.00,23.00,true,200,0.050000
157,1243283,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
158,1251202,filter_10pct,100,91,81.00,101.00,20.00,true,200,0.090000
159,1259121,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
160,1267040,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
161,1274959,filter_10pct,100,81,73.00,91.00,18.00,false,200,0.190000
162,1282878,filter_10pct,100,97,86.00,108.00,22.00,true,200,0.030000
163,1290797,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
164,1298716,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
165,1306635,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
166,1314554,filter_10pct,100,113,101.00,126.00,25.00,false,200,0.130000
167,1322473,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
168,1330392,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
169,1338311,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
170,1346230,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
171,1354149,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
172,1362068,filter_10pct,100,109,98.00,122.00,24.00,true,200,0.090000
173,1369987,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
174,1377906,filter_10pct,100,99,88.00,110.00,22.00,true,200,0.010000
175,1385825,filter_10pct,100,104,93.00,117.00,24.00,true,200,0.040000
176,1393744,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
177,1401663,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
178,1409582,filter_10pct,100,102,92.00,115.00,23.00,true,200,0.020000
179,1417501,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
180,1425420,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
181,1433339,filter_10pct,100,102,92.00,115.00,23.00,true,200,0.020000
182,1441258,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
183,1449177,filter_10pct,100,89,80.00,100.00,20.00,true,200,0.110000
184,1457096,filter_10pct,100,101,91.00,113.00,22.00,true,200,0.010000
185,1465015,filter_10pct,100,111,100.00,125.00,25.00,true,200,0.110000
186,1472934,filter_10pct,100,97,86.00,108.00,22.00,true,200,0.030000
187,1480853,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
188,1488772,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
189,1496691,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
190,1504610,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
191,1512529,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
192,1520448,filter_10pct,100,99,88.00,110.00,22.00,true,200,0.010000
193,1528367,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
194,1536286,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
195,1544205,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
196,1552124,filter_10pct,100,89,79.00,99.00,20.00,false,200,0.110000
197,1560043,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
198,1567962,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
199,1575881,filter_10pct,100,109,98.00,122.00,24.00,true,200,0.090000
200,1583800,filter_10pct,100,110,98.00,123.00,25.00,true,200,0.100000
201,1591719,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
202,1599638,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
203,1607557,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
204,1615476,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
205,1623395,filter_10pct,100,108,96.00,120.00,24.00,true,200,0.080000
206,1631314,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
207,1639233,filter_10pct,100,87,78.00,97.00,19.00,false,200,0.130000
208,1647152,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
209,1655071,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
210,1662990,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
211,1670909,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
212,1678828,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
213,1686747,filter_10pct,100,94,84.00,106.00,22.00,true,200,0.060000
214,1694666,filter_10pct,100,96,85.00,107.00,22.00,true,200,0.040000
215,1702585,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
216,1710504,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
217,1718423,filter_10pct,100,109,98.00,122.00,24.00,true,200,0.090000
218,1726342,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
219,1734261,filter_10pct,100,91,81.00,102.00,21.00,true,200,0.090000
220,1742180,filter_10pct,100,87,78.00,98.00,20.00,false,200,0.130000
221,1750099,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
222,1758018,filter_10pct,100,84,75.00,94.00,19.00,false,200,0.160000
223,1765937,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
224,1773856,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
225,1781775,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
226,1789694,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
227,1797613,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
228,1805532,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
229,1813451,filter_10pct,100,106,95.00,118.00,23.00,true,200,0.060000
230,1821370,filter_10pct,100,106,95.00,118.00,23.00,true,200,0.060000
231,1829289,filter_10pct,100,96,85.00,107.00,22.00,true,200,0.040000
232,1837208,filter_10pct,100,105,94.00,117.00,23.00,true,200,0.050000
233,1845127,filter_10pct,100,97,86.00,108.00,22.00,true,200,0.030000
234,1853046,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
235,1860965,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
236,1868884,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
237,1876803,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
238,1884722,filter_10pct,100,103,92.00,116.00,24.00,true,200,0.030000
239,1892641,filter_10pct,100,90,80.00,101.00,21.00,true,200,0.100000
240,1900560,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
241,1908479,filter_10pct,100,107,96.00,120.00,24.00,true,200,0.070000
242,1916398,filter_10pct,100,99,88.00,110.00,22.00,true,200,0.010000
243,1924317,filter_10pct,100,96,86.00,108.00,22.00,true,200,0.040000
244,1932236,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
245,1940155,filter_10pct,100,111,99.00,124.00,25.00,true,200,0.110000
246,1948074,filter_10pct,100,106,94.00,118.00,24.00,true,200,0.060000
247,1955993,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
248,1963912,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
249,1971831,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
250,1979750,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
251,1987669,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
252,1995588,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
253,2003507,filter_10pct,100,110,99.00,123.00,24.00,true,200,0.100000
254,2011426,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
255,2019345,filter_10pct,100,101,91.00,113.00,22.00,true,200,0.010000
256,2027264,filter_10pct,100,96,86.00,108.00,22.00,true,200,0.040000
257,2035183,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
258,2043102,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
259,2051021,filter_10pct,100,110,99.00,123.00,24.00,true,200,0.100000
260,2058940,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
261,2066859,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
262,2074778,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
263,2082697,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
264,2090616,filter_10pct,100,110,98.00,123.00,25.00,true,200,0.100000
265,2098535,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
266,2106454,filter_10pct,100,91,82.00,102.00,20.00,true,200,0.090000
267,2114373,filter_10pct,100,108,96.00,120.00,24.00,true,200,0.080000
268,2122292,filter_10pct,100,94,84.00,106.00,22.00,true,200,0.060000
269,2130211,filter_10pct,100,107,96.00,120.00,24.00,true,200,0.070000
270,2138130,filter_10pct,100,96,86.00,108.00,22.00,true,200,0.040000
271,2146049,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
272,2153968,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
273,2161887,filter_10pct,100,106,95.00,118.00,23.00,true,200,0.060000
274,2169806,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
275,2177725,filter_10pct,100,105,93.00,117.00,24.00,true,200,0.050000
276,2185644,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
277,2193563,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
278,2201482,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
279,2209401,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
280,2217320,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
281,2225239,filter_10pct,100,110,98.00,123.00,25.00,true,200,0.100000
282,2233158,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
283,2241077,filter_10pct,100,97,86.00,108.00,22.00,true,200,0.030000
284,2248996,filter_10pct,100,117,104.00,130.00,26.00,false,200,0.170000
285,2256915,filter_10pct,100,99,88.00,110.00,22.00,true,200,0.010000
286,2264834,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
287,2272753,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
288,2280672,filter_10pct,100,90,80.00,101.00,21.00,true,200,0.100000
289,2288591,filter_10pct,100,106,94.00,118.00,24.00,true,200,0.060000
290,2296510,filter_10pct,100,106,95.00,118.00,23.00,true,200,0.060000
291,2304429,filter_10pct,100,116,104.00,129.00,25.00,false,200,0.160000
292,2312348,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
293,2320267,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
294,2328186,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
295,2336105,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
296,2344024,filter_10pct,100,108,96.00,120.00,24.00,true,200,0.080000
297,2351943,filter_10pct,100,113,101.00,126.00,25.00,false,200,0.130000
298,2359862,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
299,2367781,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
300,2375700,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
301,2383619,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
302,2391538,filter_10pct,100,109,98.00,122.00,24.00,true,200,0.090000
303,2399457,filter_10pct,100,101,91.00,113.00,22.00,true,200,0.010000
304,2407376,filter_10pct,100,101,91.00,113.00,22.00,true,200,0.010000
305,2415295,filter_10pct,100,97,86.00,108.00,22.00,true,200,0.030000
306,2423214,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
307,2431133,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
308,2439052,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
309,2446971,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
310,2454890,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
311,2462809,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
312,2470728,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
