scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,244032,176818,322620,145802,true,0.023872
product_independent,0.5,250000,212000,152508,282982,130474,true,0.152
product_independent,0.5,250000,286090,209746,371812,162066,true,0.14436
product_independent,0.5,250000,265650,194040,348168,154128,true,0.0626
product_independent,0.5,250000,251968,182726,332310,149584,true,0.007872
product_independent,0.5,250000,269838,196213,352787,156574,true,0.079352
product_independent,0.5,250000,260568,189630,342176,152546,true,0.042272
product_independent,0.5,250000,255195,185490,335439,149949,true,0.02078
product_independent,0.5,250000,360800,268470,456875,188405,false,0.4432
product_independent,0.5,250000,325785,240380,417690,177310,true,0.30314
product_independent,0.5,250000,291575,213428,378820,165392,true,0.1663
product_independent,0.5,250000,291930,213724,378630,164906,true,0.16772
product_independent,0.5,250000,311392,228990,402069,173079,true,0.245568
product_independent,0.5,250000,291152,213110,377910,164800,true,0.164608
product_independent,0.5,250000,258552,187910,339286,151376,true,0.034208
product_independent,0.5,250000,303479,222705,392496,169791,true,0.213916
product_independent,0.5,250000,262515,190876,343980,153104,true,0.05006
product_independent,0.5,250000,298053,218500,385659,167159,true,0.192212
product_independent,0.5,250000,311520,230112,400372,170260,true,0.24608
product_independent,0.5,250000,316645,233000,407340,174340,true,0.26658
product_independent,0.5,250000,217745,157094,289614,132520,true,0.12902
product_independent,0.5,250000,289845,211945,376267,164322,true,0.15938
product_independent,0.5,250000,201110,144364,270351,125987,true,0.19556
product_independent,0.5,250000,272800,198762,356250,157488,true,0.0912
product_independent,0.5,250000,278735,203810,364156,160346,true,0.11494
product_independent,0.5,250000,256520,187048,337542,150494,true,0.02608
product_independent,0.5,250000,222384,160477,296018,135541,true,0.110464
product_independent,0.5,250000,261215,190385,342108,151723,true,0.04486
product_independent,0.5,250000,206400,148104,275947,127843,true,0.1744
product_independent,0.5,250000,275880,201880,359822,157942,true,0.10352
product_independent,0.5,250000,299750,219486,387500,168014,true,0.199
product_independent,0.5,250000,262640,191040,344712,153672,true,0.05056
product_independent,0.5,250000,284480,207840,370788,162948,true,0.13792
product_independent,0.5,250000,271780,198314,356213,157899,true,0.08712
product_independent,0.5,250000,369900,276738,466785,190047,false,0.4796
product_independent,0.5,250000,256410,186592,336420,149828,true,0.02564
product_independent,0.5,250000,245565,178162,323830,145668,true,0.01774
product_independent,0.5,250000,265960,193390,348440,155050,true,0.06384
product_independent,0.5,250000,325910,240456,417880,177424,true,0.30364
