trial_id,seed,strategy,quantifier_order,budget,final_pos1,distance_pos1,optimal_pos1,final_pos2,distance_pos2,optimal_pos2,final_pos3,distance_pos3,optimal_pos3,final_pos4,distance_pos4,optimal_pos4,final_pos5,distance_pos5,optimal_pos5,variance,mean_distance,total_distance,attempts,rounds,elapsed_micros
54,427626,sequential-exhaustive,abcde,500,10,0,1,10083,10073,0,401699,401689,0,8670380,8670370,0,3240445,3240435,0,11093611790055.44,2464513.4,12322567,0,0,25783
55,435545,sequential-exhaustive,abcde,500,10,0,1,47977,47967,0,1037981,1037971,0,5143567,5143557,0,2162179,2162169,0,3625366617792.16,1678332.8,8391664,0,0,26468
56,443464,sequential-exhaustive,abcde,500,10,0,1,20661,20651,0,5287872,5287862,0,4505858,4505848,0,9530961,9530951,0,12851076976576.238,3869062.4,19345312,0,0,88247
57,451383,sequential-exhaustive,abcde,500,10,0,1,2958,2948,0,9840964,9840954,0,4771675,4771665,0,5211405,5211395,0,13630024921836.238,3965392.4,19826962,0,0,26991
58,459302,sequential-exhaustive,abcde,500,10,0,1,4394,4384,0,378900,378890,0,7636134,7636124,0,3283319,3283309,0,8736769495768.639,2260541.4,11302707,0,0,26452
59,467221,sequential-exhaustive,abcde,500,10,0,1,213892,213882,0,6973572,6973562,0,1131406,1131396,0,7724788,7724778,0,11629805765976.64,3208723.6,16043618,0,0,26076
60,475140,sequential-exhaustive,abcde,500,10,0,1,10717,10707,0,1930087,1930077,0,8630880,8630870,0,743637,743627,0,10632618623202.959,2263056.2,11315281,0,0,25716
61,483059,sequential-exhaustive,abcde,500,10,0,1,384954,384944,0,3414174,3414164,0,2393022,2393012,0,2985760,2985750,0,1919849529859.2,1835574,9177870,0,0,25728
62,490978,sequential-exhaustive,abcde,500,10,0,1,10867,10857,0,8137525,8137515,0,6082307,6082297,0,3123928,3123918,0,10547226145698.64,3470917.4,17354587,0,0,25813
63,498897,sequential-exhaustive,abcde,500,10,0,1,83335,83325,0,8347168,8347158,0,6625992,6625982,0,1590540,1590530,0,12138184874361.6,3329399,16646995,0,0,25914
64,506816,sequential-exhaustive,abcde,500,10,0,1,1680,1670,0,3191173,3191163,0,7761691,7761681,0,9896345,9896335,0,16282616331058.963,4170169.8,20850849,0,0,26083
65,514735,sequential-exhaustive,abcde,500,10,0,1,610,600,0,7239186,7239176,0,6959690,6959680,0,445279,445269,0,11629497127722.4,2928945,14644725,0,0,26078
66,522654,sequential-exhaustive,abcde,500,10,0,1,644258,644248,0,9961294,9961284,0,5979618,5979608,0,9372168,9372158,0,17695805586525.44,5191459.6,25957298,0,0,26249
67,530573,sequential-exhaustive,abcde,500,10,0,1,2989,2979,0,8183676,8183666,0,5986466,5986456,0,1851379,1851369,0,10976178586382.8,3204894,16024470,0,0,26527
68,538492,sequential-exhaustive,abcde,500,10,0,1,199,189,0,1837115,1837105,0,1275122,1275112,0,3406612,3406602,0,1621261910976.2397,1303801.6,6519008,0,0,25911
69,546411,sequential-exhaustive,abcde,500,10,0,1,23240,23230,0,1276153,1276143,0,5343556,5343546,0,4230380,4230370,0,4886582408972.159,2174657.8,10873289,0,0,26003
70,554330,sequential-exhaustive,abcde,500,10,0,1,4926,4916,0,5348046,5348036,0,3081720,3081710,0,7953151,7953141,0,9527776816194.24,3277560.6,16387803,0,0,26154
71,562249,sequential-exhaustive,abcde,500,10,0,1,411440,411430,0,1360930,1360920,0,9629198,9629188,0,3930685,3930675,0,12635498858159.041,3066442.6,15332213,0,0,25659
72,570168,sequential-exhaustive,abcde,500,10,0,1,20823,20813,0,9519611,9519601,0,9001722,9001712,0,1220455,1220445,0,19006339760626.16,3952514.2,19762571,0,0,26061
73,578087,sequential-exhaustive,abcde,500,10,0,1,43573,43563,0,4374428,4374418,0,2097435,2097425,0,1883113,1883103,0,2595141685662.16,1679701.8,8398509,0,0,26186
74,586006,sequential-exhaustive,abcde,500,10,0,1,1546,1536,0,2624522,2624512,0,7187873,7187863,0,2390134,2390124,0,6895687756668,2440807,12204035,0,0,26303
75,593925,sequential-exhaustive,abcde,500,10,0,1,14627,14617,0,7150063,7150053,0,4002825,4002815,0,5883010,5883000,0,8722376147335.6,3410097,17050485,0,0,26109
76,601844,sequential-exhaustive,abcde,500,10,0,1,279366,279356,0,927897,927887,0,2753585,2753575,0,2285166,2285156,0,1188137808546.1597,1249194.8,6245974,0,0,26113
77,609763,sequential-exhaustive,abcde,500,10,0,1,131,121,0,6849899,6849889,0,8717048,8717038,0,8126822,8126812,0,15334600752766,4738772,23693860,0,0,25182
78,617682,sequential-exhaustive,abcde,500,10,0,1,1741,1731,0,4444351,4444341,0,6789939,6789929,0,4301039,4301029,0,7214859192068.8,3107406,15537030,0,0,25776
79,625601,sequential-exhaustive,abcde,500,10,0,1,20888,20878,0,5423321,5423311,0,169434,169424,0,142976,142966,0,4566848301177.76,1151315.8,5756579,0,0,26142
80,633520,sequential-exhaustive,abcde,500,10,0,1,29532,29522,0,5651205,5651195,0,2936024,2936014,0,647546,647536,0,4762205789308.639,1852853.4,9264267,0,0,25391
81,641439,sequential-exhaustive,abcde,500,10,0,1,12610,12600,0,3953669,3953659,0,7413570,7413560,0,5355776,5355766,0,8652143702038.4,3347117,16735585,0,0,26124
82,649358,sequential-exhaustive,abcde,500,10,0,1,305,295,0,7648402,7648392,0,8866675,8866665,0,4530617,4530607,0,13811114047485.36,4209191.8,21045959,0,0,26067
83,657277,sequential-exhaustive,abcde,500,10,0,1,91743,91733,0,3297219,3297209,0,955288,955278,0,2625821,2625811,0,1794235033956.56,1394006.2,6970031,0,0,25611
84,665196,sequential-exhaustive,abcde,500,10,0,1,284616,284606,0,4269960,4269950,0,7743842,7743832,0,3177118,3177108,0,8095245515284.159,3095099.2,15475496,0,0,26466
85,673115,sequential-exhaustive,abcde,500,10,0,1,41542,41532,0,6813694,6813684,0,9331261,9331251,0,526843,526833,0,15582186683154,3342660,16713300,0,0,25869
86,681034,sequential-exhaustive,abcde,500,10,0,1,51793,51783,0,7591585,7591575,0,1715357,1715347,0,4932151,4932141,0,8811493350972.16,2858169.2,14290846,0,0,25863
87,688953,sequential-exhaustive,abcde,500,10,0,1,7874,7864,0,5180709,5180699,0,9830610,9830600,0,7700534,7700524,0,15908326946015.84,4543937.4,22719687,0,0,25645
88,696872,sequential-exhaustive,abcde,500,10,0,1,2213,2203,0,4008172,4008162,0,8159238,8159228,0,7301741,7301731,0,12025430592240.559,3894264.8,19471324,0,0,25976
89,704791,sequential-exhaustive,abcde,500,10,0,1,18,8,0,3165797,3165787,0,6855432,6855422,0,2067185,2067175,0,6413277275801.839,2417678.4,12088392,0,0,25320
90,712710,sequential-exhaustive,abcde,500,10,0,1,78881,78871,0,6636621,6636611,0,596671,596661,0,2525098,2525088,0,6285735441430.959,1967446.2,9837231,0,0,25375
91,720629,sequential-exhaustive,abcde,500,10,0,1,5847,5837,0,319305,319295,0,6545791,6545781,0,7495800,7495790,0,11571133794722.64,2873340.6,14366703,0,0,25376
92,728548,sequential-exhaustive,abcde,500,10,0,1,241032,241022,0,706112,706102,0,932321,932311,0,7372202,7372192,0,7731313979009.439,1850325.4,9251627,0,0,26005
93,736467,sequential-exhaustive,abcde,500,10,0,1,22886,22876,0,893939,893929,0,5586570,5586560,0,7891981,7891971,0,10569470311255.76,2879067.2,14395336,0,0,25991
94,744386,sequential-exhaustive,abcde,500,10,0,1,10651,10641,0,6344374,6344364,0,528214,528204,0,557659,557649,0,5953553222592.241,1488171.6,7440858,0,0,26299
95,752305,sequential-exhaustive,abcde,500,10,0,1,2641,2631,0,439017,439007,0,2862319,2862309,0,7172754,7172744,0,7576318501466.159,2095338.2,10476691,0,0,25505
96,760224,sequential-exhaustive,abcde,500,10,0,1,93005,92995,0,3427188,3427178,0,5727034,5727024,0,1536617,1536607,0,4731215268130.16,2156760.8,10783804,0,0,25318
97,768143,sequential-exhaustive,abcde,500,10,0,1,14883,14873,0,6998340,6998330,0,1904631,1904621,0,7685923,7685913,0,11308173463841.037,3320747.4,16603737,0,0,26256
98,776062,sequential-exhaustive,abcde,500,10,0,1,5306,5296,0,9480074,9480064,0,9009373,9009363,0,3133527,3133517,0,17460607769450,4325648,21628240,0,0,25455
99,783981,sequential-exhaustive,abcde,500,10,0,1,7532,7522,0,7315121,7315111,0,431047,431037,0,2133357,2133347,0,7739449361785.041,1977403.4,9887017,0,0,27064
100,791900,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,400,390,0,1217475,1217465,0,2847493,2847483,0,1256997200553.0398,813067.6,4065338,0,0,108591
101,799819,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,30016,30006,0,1755221,1755211,0,4160730,4160720,0,2664484714272.6396,1189187.4,5945937,0,0,108054
102,807738,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,3525,3515,0,8485691,8485681,0,950693,950683,0,11017665889709.361,1887975.8,9439879,0,0,111572
103,815657,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,19092,19082,0,6271670,6271660,0,6957198,6957188,0,10527003657737.6,2649586,13247930,0,0,110755
104,823576,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,1006551,1006541,0,2704482,2704472,0,972129,972119,0,977192773548.24,936626.4,4683132,0,0,108344
105,831495,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,1724314,1724304,0,3836076,3836066,0,6239280,6239270,0,5754163189550.4,2359928,11799640,0,0,108783
106,839414,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,191831,191821,0,7645072,7645062,0,7764165,7764155,0,14017478761684.24,3120207.6,15601038,0,0,108651
107,847333,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,758,748,0,4803289,4803279,0,9187647,9187637,0,13666166211466.959,2798332.8,13991664,0,0,108563
108,855252,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,385310,385300,0,776501,776491,0,1807974,1807964,0,451247847274.4,593951,2969755,0,0,108744
109,863171,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,142,132,0,9284282,9284272,0,4192451,4192441,0,13489839579016.8,2695369,13476845,0,0,108040
110,871090,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,43478,43468,0,850521,850511,0,6503698,6503688,0,6415624124182.239,1479533.4,7397667,0,0,108420
