trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
106,47514,2,2500,2704,2209.00,3136.00,927.00,0.3708,true,0.081600,2128.71,2943.59,814.88,true,1.1376
107,55433,2,2500,2500,2070.00,2970.00,900.00,0.3600,true,0.000000,2131.28,2940.77,809.49,true,1.1118
108,63352,2,2500,2448,1978.00,2860.00,882.00,0.3528,true,0.020800,2133.41,2954.18,820.77,true,1.0746
109,71271,2,2500,2548,2112.00,3021.00,909.00,0.3636,true,0.019200,2124.59,2955.62,831.03,true,1.0938
110,79190,2,2500,2400,2024.00,2915.00,891.00,0.3564,true,0.040000,2126.64,2941.62,814.98,true,1.0933
111,87109,2,2500,2703,2303.00,3248.00,945.00,0.3780,true,0.081200,2119.98,2949.18,829.20,true,1.1396
112,95028,2,2500,2450,2025.00,2916.00,891.00,0.3564,true,0.020000,2123.44,2946.11,822.67,true,1.0831
113,102947,2,2500,2597,2156.00,3074.00,918.00,0.3672,true,0.038800,2118.11,2954.77,836.67,true,1.0972
114,110866,2,2500,2809,2304.00,3306.00,1002.00,0.4008,true,0.123600,2131.40,2943.66,812.26,true,1.2336
115,118785,2,2500,2968,2499.00,3480.00,981.00,0.3924,true,0.187200,2125.07,2947.70,822.63,true,1.1925
116,126704,2,2500,2704,2256.00,3192.00,936.00,0.3744,true,0.081600,2124.44,2941.91,817.46,true,1.1450
117,134623,2,2500,2650,2254.00,3190.00,936.00,0.3744,true,0.060000,2129.57,2934.90,805.33,true,1.1623
118,142542,2,2500,2915,2450.00,3422.00,972.00,0.3888,true,0.166000,2120.05,2928.62,808.57,true,1.2021
119,150461,2,2500,2303,1892.00,2756.00,864.00,0.3456,true,0.078800,2121.23,2952.49,831.26,true,1.0394
120,158380,2,2500,2597,2112.00,3074.00,962.00,0.3848,true,0.038800,2122.64,2944.96,822.32,true,1.1699
121,166299,2,2500,2450,2025.00,2916.00,891.00,0.3564,true,0.020000,2121.67,2942.82,821.15,true,1.0851
122,174218,2,2500,2397,2021.00,2912.00,891.00,0.3564,true,0.041200,2124.66,2944.82,820.16,true,1.0864
123,182137,2,2500,2650,2160.00,3078.00,918.00,0.3672,true,0.060000,2135.26,2952.72,817.46,true,1.1230
124,190056,2,2500,2862,2401.00,3364.00,963.00,0.3852,true,0.144800,2124.54,2946.22,821.68,true,1.1720
125,197975,2,2500,2448,1978.00,2860.00,882.00,0.3528,true,0.020800,2122.68,2936.79,814.12,true,1.0834
126,205894,2,2500,2585,2100.00,3060.00,960.00,0.3840,true,0.034000,2125.58,2942.68,817.11,true,1.1749
127,213813,2,2500,2695,2200.00,3180.00,980.00,0.3920,true,0.078000,2122.98,2940.39,817.42,true,1.1989
128,221732,2,2500,3078,2548.00,3538.00,990.00,0.3960,false,0.231200,2124.65,2944.64,819.99,true,1.2073
129,229651,2,2500,2450,2024.00,2915.00,891.00,0.3564,true,0.020000,2125.07,2961.63,836.57,true,1.0651
130,237570,2,2500,2450,1980.00,2862.00,882.00,0.3528,true,0.020000,2118.03,2937.99,819.95,true,1.0757
