trial_id,seed,scenario,parent_base_max,parent_true_size,parent_pass_rate,parent_est_size,parent_ci_lower,parent_ci_upper,parent_true_in_ci,parent_ci_width,shrink_value,shrunk_true_size,shrunk_pass_rate,warmup0_est_size,warmup0_ci_lower,warmup0_ci_upper,warmup0_true_in_ci,warmup0_ci_width,warmup10_est_size,warmup10_ci_lower,warmup10_ci_upper,warmup10_true_in_ci,warmup10_ci_width,warmup50_est_size,warmup50_ci_lower,warmup50_ci_upper,warmup50_true_in_ci,warmup50_ci_width,warmup100_est_size,warmup100_ci_lower,warmup100_ci_upper,warmup100_true_in_ci,warmup100_ci_width
36,285084,same_pass_rate_mod2,999,500,0.5000,448,396.00,500.00,true,104.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,137,117.00,157.00,true,40.00,142,127.00,157.00,false,30.00
37,293003,same_pass_rate_mod2,999,500,0.5000,536,479.00,593.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,116,98.00,135.00,true,37.00,118,104.00,131.00,true,27.00
38,300922,same_pass_rate_mod2,999,500,0.5000,524,467.00,580.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,114,85.00,145.00,true,60.00,141,121.00,161.00,true,40.00,126,112.00,140.00,true,28.00
39,308841,same_pass_rate_mod2,999,500,0.5000,566,507.00,624.00,false,117.00,250,125,0.5000,120,79.00,161.00,true,82.00,95,70.00,124.00,false,54.00,120,102.00,139.00,true,37.00,117,103.00,131.00,true,28.00
40,316760,same_pass_rate_mod2,999,500,0.5000,500,445.00,555.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,109,81.00,139.00,true,58.00,118,100.00,137.00,true,37.00,124,110.00,139.00,true,29.00
41,324679,same_pass_rate_mod2,999,500,0.5000,483,428.00,537.00,true,109.00,250,125,0.5000,120,79.00,161.00,true,82.00,114,85.00,145.00,true,60.00,118,100.00,137.00,true,37.00,121,107.00,135.00,true,28.00
42,332598,same_pass_rate_mod2,999,500,0.5000,485,430.00,539.00,true,109.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,129,110.00,148.00,true,38.00,127,112.00,141.00,true,29.00
43,340517,same_pass_rate_mod2,999,500,0.5000,444,393.00,497.00,false,104.00,250,125,0.5000,120,79.00,161.00,true,82.00,112,83.00,142.00,true,59.00,117,99.00,136.00,true,37.00,114,100.00,127.00,true,27.00
44,348436,same_pass_rate_mod2,999,500,0.5000,487,432.00,542.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,142,108.00,173.00,true,65.00,131,112.00,151.00,true,39.00,135,120.00,150.00,true,30.00
45,356355,same_pass_rate_mod2,999,500,0.5000,489,434.00,544.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,101,75.00,130.00,true,55.00,119,101.00,138.00,true,37.00,118,104.00,132.00,true,28.00
46,364274,same_pass_rate_mod2,999,500,0.5000,507,451.00,562.00,true,111.00,250,125,0.5000,120,79.00,161.00,true,82.00,105,78.00,135.00,true,57.00,118,100.00,137.00,true,37.00,124,110.00,139.00,true,29.00
47,372193,same_pass_rate_mod2,999,500,0.5000,516,460.00,572.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,122,103.00,141.00,true,38.00,127,113.00,142.00,true,29.00
48,380112,same_pass_rate_mod2,999,500,0.5000,472,419.00,526.00,true,107.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,121,103.00,140.00,true,37.00,129,115.00,143.00,true,28.00
49,388031,same_pass_rate_mod2,999,500,0.5000,536,479.00,593.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,129,110.00,148.00,true,38.00,126,111.00,140.00,true,29.00
50,395950,same_pass_rate_mod2,999,500,0.5000,500,445.00,555.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,107,79.00,137.00,true,58.00,108,91.00,126.00,true,35.00,115,101.00,128.00,true,27.00
51,403869,same_pass_rate_mod2,999,500,0.5000,514,458.00,570.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,119,101.00,138.00,true,37.00,132,117.00,147.00,true,30.00
52,411788,same_pass_rate_mod2,999,500,0.5000,487,432.00,542.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,127,108.00,146.00,true,38.00,126,111.00,140.00,true,29.00
