trial_id,seed,tests_run,bug_found,claimed_confidence,property_type,true_pass_rate,target_confidence,pass_rate_threshold,termination_reason,elapsed_micros
111,879009,22,true,0.960155,uncommon_failure,0.9950,0.95,0.8,bugFound,70
112,886928,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,109
113,894847,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,104
114,902766,53,true,0.999915,uncommon_failure,0.9950,0.95,0.8,bugFound,218
115,910685,54,true,0.999931,uncommon_failure,0.9950,0.95,0.8,bugFound,80
116,918604,23,true,0.966943,uncommon_failure,0.9950,0.95,0.8,bugFound,61
117,926523,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,114
118,934442,4,true,0.262720,uncommon_failure,0.9950,0.95,0.8,bugFound,32
119,942361,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,105
120,950280,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,105
121,958199,1,true,0.040000,uncommon_failure,0.9950,0.95,0.8,bugFound,28
122,966118,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,107
123,974037,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,103
124,981956,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,105
125,989875,2,true,0.104000,uncommon_failure,0.9950,0.95,0.8,bugFound,30
126,997794,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,109
127,1005713,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,122
128,1013632,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,259
129,1021551,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,126
130,1029470,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,109
131,1037389,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,109
132,1045308,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,110
133,1053227,27,true,0.984526,uncommon_failure,0.9950,0.95,0.8,bugFound,54
134,1061146,85,true,1.000000,uncommon_failure,0.9950,0.95,0.8,bugFound,95
135,1069065,13,true,0.802088,uncommon_failure,0.9950,0.95,0.8,bugFound,39
136,1076984,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,110
137,1084903,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,103
138,1092822,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,104
139,1100741,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,115
140,1108660,23,true,0.966943,uncommon_failure,0.9950,0.95,0.8,bugFound,48
141,1116579,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,250
142,1124498,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,106
143,1132417,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,145
144,1140336,40,true,0.998804,uncommon_failure,0.9950,0.95,0.8,bugFound,99
145,1148255,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,106
146,1156174,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,103
147,1164093,20,true,0.942354,uncommon_failure,0.9950,0.95,0.8,bugFound,44
148,1172012,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,103
149,1179931,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,119
150,1187850,8,true,0.563792,common_failure,0.9900,0.95,0.8,bugFound,34
151,1195769,21,true,0.952038,common_failure,0.9900,0.95,0.8,bugFound,44
152,1203688,75,true,0.999999,common_failure,0.9900,0.95,0.8,bugFound,102
153,1211607,41,true,0.999022,common_failure,0.9900,0.95,0.8,bugFound,65
154,1219526,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,105
155,1227445,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,340
156,1235364,34,true,0.996045,common_failure,0.9900,0.95,0.8,bugFound,64
157,1243283,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,131
158,1251202,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,157
159,1259121,9,true,0.624190,common_failure,0.9900,0.95,0.8,bugFound,65
160,1267040,96,true,1.000000,common_failure,0.9900,0.95,0.8,bugFound,119
161,1274959,25,true,0.977333,common_failure,0.9900,0.95,0.8,bugFound,86
162,1282878,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,110
