trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
211,87109,magnitude_dependent,150,146,131.00,162.00,true,0.026667
212,95028,magnitude_dependent,150,160,144.00,178.00,true,0.066667
213,102947,magnitude_dependent,150,154,139.00,172.00,true,0.026667
214,110866,magnitude_dependent,150,159,143.00,177.00,true,0.060000
215,118785,magnitude_dependent,150,160,144.00,178.00,true,0.066667
216,126704,magnitude_dependent,150,156,140.00,173.00,true,0.040000
217,134623,magnitude_dependent,150,155,139.00,172.00,true,0.033333
218,142542,magnitude_dependent,150,147,132.00,163.00,true,0.020000
219,150461,magnitude_dependent,150,160,144.00,178.00,true,0.066667
220,158380,magnitude_dependent,150,152,137.00,170.00,true,0.013333
221,166299,magnitude_dependent,150,135,121.00,151.00,true,0.100000
222,174218,magnitude_dependent,150,149,134.00,166.00,true,0.006667
223,182137,magnitude_dependent,150,149,134.00,166.00,true,0.006667
224,190056,magnitude_dependent,150,144,129.00,160.00,true,0.040000
225,197975,magnitude_dependent,150,147,132.00,164.00,true,0.020000
226,205894,magnitude_dependent,150,163,147.00,182.00,true,0.086667
227,213813,magnitude_dependent,150,139,125.00,155.00,true,0.073333
228,221732,magnitude_dependent,150,144,130.00,161.00,true,0.040000
229,229651,magnitude_dependent,150,148,133.00,165.00,true,0.013333
230,237570,magnitude_dependent,150,147,132.00,164.00,true,0.020000
231,245489,magnitude_dependent,150,152,137.00,170.00,true,0.013333
232,253408,magnitude_dependent,150,150,134.00,167.00,true,0.000000
233,261327,magnitude_dependent,150,149,134.00,166.00,true,0.006667
234,269246,magnitude_dependent,150,138,124.00,154.00,true,0.080000
235,277165,magnitude_dependent,150,166,149.00,185.00,true,0.106667
236,285084,magnitude_dependent,150,139,125.00,155.00,true,0.073333
237,293003,magnitude_dependent,150,142,127.00,158.00,true,0.053333
238,300922,magnitude_dependent,150,150,135.00,167.00,true,0.000000
239,308841,magnitude_dependent,150,148,133.00,164.00,true,0.013333
240,316760,magnitude_dependent,150,150,135.00,167.00,true,0.000000
241,324679,magnitude_dependent,150,149,134.00,166.00,true,0.006667
242,332598,magnitude_dependent,150,165,148.00,184.00,true,0.100000
243,340517,magnitude_dependent,150,156,140.00,174.00,true,0.040000
244,348436,magnitude_dependent,150,158,142.00,175.00,true,0.053333
245,356355,magnitude_dependent,150,152,136.00,169.00,true,0.013333
246,364274,magnitude_dependent,150,148,133.00,165.00,true,0.013333
247,372193,magnitude_dependent,150,153,137.00,170.00,true,0.020000
248,380112,magnitude_dependent,150,148,133.00,165.00,true,0.013333
249,388031,magnitude_dependent,150,165,148.00,183.00,true,0.100000
250,395950,magnitude_dependent,150,148,133.00,165.00,true,0.013333
251,403869,magnitude_dependent,150,150,135.00,167.00,true,0.000000
252,411788,magnitude_dependent,150,132,118.00,147.00,false,0.120000
253,419707,magnitude_dependent,150,143,128.00,159.00,true,0.046667
254,427626,magnitude_dependent,150,151,136.00,169.00,true,0.006667
255,435545,magnitude_dependent,150,154,138.00,171.00,true,0.026667
256,443464,magnitude_dependent,150,145,130.00,161.00,true,0.033333
257,451383,magnitude_dependent,150,176,158.00,195.00,false,0.173333
258,459302,magnitude_dependent,150,148,133.00,165.00,true,0.013333
259,467221,magnitude_dependent,150,163,146.00,181.00,true,0.086667
260,475140,magnitude_dependent,150,143,129.00,160.00,true,0.046667
261,483059,magnitude_dependent,150,139,124.00,154.00,true,0.073333
262,490978,magnitude_dependent,150,148,132.00,164.00,true,0.013333
263,498897,magnitude_dependent,150,165,149.00,184.00,true,0.100000
264,506816,magnitude_dependent,150,137,123.00,153.00,true,0.086667
265,514735,magnitude_dependent,150,151,136.00,168.00,true,0.006667
266,522654,magnitude_dependent,150,136,122.00,152.00,true,0.093333
267,530573,magnitude_dependent,150,153,138.00,171.00,true,0.020000
268,538492,magnitude_dependent,150,154,138.00,171.00,true,0.026667
269,546411,magnitude_dependent,150,142,128.00,158.00,true,0.053333
270,554330,magnitude_dependent,150,140,126.00,156.00,true,0.066667
271,562249,magnitude_dependent,150,168,151.00,187.00,false,0.120000
272,570168,magnitude_dependent,150,158,142.00,176.00,true,0.053333
273,578087,magnitude_dependent,150,172,154.00,191.00,false,0.146667
274,586006,magnitude_dependent,150,143,128.00,159.00,true,0.046667
275,593925,magnitude_dependent,150,164,147.00,182.00,true,0.093333
276,601844,magnitude_dependent,150,141,126.00,157.00,true,0.060000
