trial_id,seed,algorithm,start_value,target_value,budget,final_value,distance,attempts_used,converged,convergence_attempt
303,2399457,random-100,100,10,200,10,0,1,1,1
304,2407376,random-100,100,10,200,10,0,2,1,2
305,2415295,random-100,100,10,200,10,0,1,1,1
306,2423214,random-100,100,10,200,10,0,2,1,2
307,2431133,random-100,100,10,200,10,0,1,1,1
308,2439052,random-100,100,10,200,10,0,2,1,2
309,2446971,random-100,100,10,200,10,0,1,1,1
310,2454890,random-100,100,10,200,10,0,1,1,1
311,2462809,random-100,100,10,200,10,0,2,1,2
312,2470728,random-100,100,10,200,10,0,1,1,1
313,2478647,random-100,100,10,200,10,0,1,1,1
314,2486566,random-100,100,10,200,10,0,1,1,1
315,2494485,random-100,100,10,200,10,0,1,1,1
316,2502404,random-100,100,10,200,10,0,2,1,2
317,2510323,random-100,100,10,200,10,0,1,1,1
318,2518242,random-100,100,10,200,10,0,1,1,1
319,2526161,random-100,100,10,200,10,0,1,1,1
320,2534080,random-100,100,10,200,10,0,1,1,1
321,2541999,random-100,100,10,200,10,0,1,1,1
322,2549918,random-100,100,10,200,10,0,2,1,2
323,2557837,random-100,100,10,200,10,0,1,1,1
324,2565756,random-100,100,10,200,10,0,1,1,1
325,2573675,random-100,100,10,200,10,0,1,1,1
326,2581594,random-100,100,10,200,10,0,2,1,2
327,2589513,random-100,100,10,200,10,0,2,1,2
328,2597432,random-100,100,10,200,10,0,1,1,1
329,2605351,random-100,100,10,200,10,0,2,1,2
330,2613270,random-100,100,10,200,10,0,2,1,2
331,2621189,random-100,100,10,200,10,0,1,1,1
332,2629108,random-100,100,10,200,10,0,1,1,1
333,2637027,random-100,100,10,200,10,0,1,1,1
334,2644946,random-100,100,10,200,10,0,1,1,1
335,2652865,random-100,100,10,200,10,0,1,1,1
336,2660784,random-100,100,10,200,10,0,1,1,1
337,2668703,random-100,100,10,200,10,0,1,1,1
338,2676622,random-100,100,10,200,10,0,1,1,1
339,2684541,random-100,100,10,200,10,0,1,1,1
340,2692460,random-100,100,10,200,10,0,1,1,1
341,2700379,random-100,100,10,200,10,0,1,1,1
342,2708298,random-100,100,10,200,10,0,1,1,1
343,2716217,random-100,100,10,200,10,0,1,1,1
344,2724136,random-100,100,10,200,10,0,1,1,1
345,2732055,random-100,100,10,200,10,0,2,1,2
346,2739974,random-100,100,10,200,10,0,2,1,2
347,2747893,random-100,100,10,200,10,0,1,1,1
348,2755812,random-100,100,10,200,10,0,1,1,1
349,2763731,random-100,100,10,200,10,0,1,1,1
350,2771650,random-100,100,10,200,10,0,2,1,2
351,2779569,random-100,100,10,200,10,0,1,1,1
352,2787488,random-100,100,10,200,10,0,1,1,1
353,2795407,random-100,100,10,200,10,0,1,1,1
354,2803326,random-100,100,10,200,10,0,1,1,1
355,2811245,random-100,100,10,200,10,0,1,1,1
356,2819164,random-100,100,10,200,10,0,1,1,1
357,2827083,random-100,100,10,200,10,0,1,1,1
358,2835002,random-100,100,10,200,10,0,1,1,1
359,2842921,random-100,100,10,200,10,0,1,1,1
360,2850840,random-100,100,10,200,10,0,2,1,2
361,2858759,random-100,100,10,200,10,0,1,1,1
362,2866678,random-100,100,10,200,10,0,1,1,1
363,2874597,random-100,100,10,200,10,0,1,1,1
364,2882516,random-100,100,10,200,10,0,1,1,1
365,2890435,random-100,100,10,200,10,0,1,1,1
366,2898354,random-100,100,10,200,10,0,1,1,1
