trial_id,seed,tests_run,bug_found,claimed_confidence,true_pass_rate,threshold,target_confidence,threshold_actually_met,termination_reason,elapsed_micros,outcome
144,1140336,100,false,0.994375,1,0.95,0.99,true,confidence,105,TP
145,1148255,100,false,0.994375,1,0.95,0.99,true,confidence,108,TP
146,1156174,100,false,0.994375,1,0.95,0.99,true,confidence,110,TP
147,1164093,100,false,0.994375,1,0.95,0.99,true,confidence,108,TP
148,1172012,100,false,0.994375,1,0.95,0.99,true,confidence,108,TP
149,1179931,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
150,1187850,100,false,0.994375,0.999,0.95,0.9,true,confidence,251,TP
151,1195769,100,false,0.994375,0.999,0.95,0.9,true,confidence,154,TP
152,1203688,44,true,0.665043,0.999,0.95,0.9,true,bugFound,327,FN
153,1211607,100,false,0.994375,0.999,0.95,0.9,true,confidence,203,TP
154,1219526,100,false,0.994375,0.999,0.95,0.9,true,confidence,155,TP
155,1227445,100,false,0.994375,0.999,0.95,0.9,true,confidence,154,TP
156,1235364,100,false,0.994375,0.999,0.95,0.9,true,confidence,151,TP
157,1243283,100,false,0.994375,0.999,0.95,0.9,true,confidence,149,TP
158,1251202,100,false,0.994375,0.999,0.95,0.9,true,confidence,152,TP
159,1259121,100,false,0.994375,0.999,0.95,0.9,true,confidence,149,TP
160,1267040,47,true,0.699355,0.999,0.95,0.9,true,bugFound,122,FN
161,1274959,100,false,0.994375,0.999,0.95,0.9,true,confidence,139,TP
162,1282878,100,false,0.994375,0.999,0.95,0.9,true,confidence,141,TP
163,1290797,100,false,0.994375,0.999,0.95,0.9,true,confidence,269,TP
164,1298716,1,true,0.002500,0.999,0.95,0.9,true,bugFound,59,FN
165,1306635,100,false,0.994375,0.999,0.95,0.9,true,confidence,147,TP
166,1314554,100,false,0.994375,0.999,0.95,0.9,true,confidence,107,TP
167,1322473,100,false,0.994375,0.999,0.95,0.9,true,confidence,115,TP
168,1330392,100,false,0.994375,0.999,0.95,0.9,true,confidence,103,TP
169,1338311,100,false,0.994375,0.999,0.95,0.9,true,confidence,128,TP
170,1346230,100,false,0.994375,0.999,0.95,0.9,true,confidence,137,TP
171,1354149,100,false,0.994375,0.999,0.95,0.9,true,confidence,111,TP
172,1362068,100,false,0.994375,0.999,0.95,0.9,true,confidence,109,TP
