trial_id,seed,depth,explorer,total_tests,quantifier_index,unique_values,expected_unique,detection_rate
127,1005713,2,nested,1000,0,31,31,0.000030999969000031
127,1005713,2,nested,1000,1,31,31,0.000030999969000031
128,1013632,2,nested,1000,0,31,31,0.000030999969000031
128,1013632,2,nested,1000,1,31,31,0.000030999969000031
129,1021551,2,nested,1000,0,31,31,0.000030999969000031
129,1021551,2,nested,1000,1,31,31,0.000030999969000031
130,1029470,2,nested,1000,0,31,31,0.000030999969000031
130,1029470,2,nested,1000,1,31,31,0.000030999969000031
131,1037389,2,nested,1000,0,31,31,0.000030999969000031
131,1037389,2,nested,1000,1,31,31,0.000030999969000031
132,1045308,2,nested,1000,0,31,31,0.000030999969000031
132,1045308,2,nested,1000,1,31,31,0.000030999969000031
133,1053227,2,nested,1000,0,31,31,0.000030999969000031
133,1053227,2,nested,1000,1,31,31,0.000030999969000031
134,1061146,2,nested,1000,0,31,31,0.000030999969000031
134,1061146,2,nested,1000,1,31,31,0.000030999969000031
135,1069065,2,nested,1000,0,31,31,0.000030999969000031
135,1069065,2,nested,1000,1,31,31,0.000030999969000031
136,1076984,2,nested,1000,0,31,31,0.000030999969000031
136,1076984,2,nested,1000,1,31,31,0.000030999969000031
137,1084903,2,nested,1000,0,31,31,0.000030999969000031
137,1084903,2,nested,1000,1,31,31,0.000030999969000031
138,1092822,2,nested,1000,0,31,31,0.000030999969000031
138,1092822,2,nested,1000,1,31,31,0.000030999969000031
139,1100741,2,nested,1000,0,31,31,0.000030999969000031
139,1100741,2,nested,1000,1,31,31,0.000030999969000031
140,1108660,2,nested,1000,0,31,31,0.000030999969000031
140,1108660,2,nested,1000,1,31,31,0.000030999969000031
141,1116579,2,nested,1000,0,31,31,0.000030999969000031
141,1116579,2,nested,1000,1,31,31,0.000030999969000031
142,1124498,2,nested,1000,0,31,31,0.000030999969000031
142,1124498,2,nested,1000,1,31,31,0.000030999969000031
143,1132417,2,nested,1000,0,31,31,0.000030999969000031
143,1132417,2,nested,1000,1,31,31,0.000030999969000031
144,1140336,2,nested,1000,0,31,31,0.000030999969000031
144,1140336,2,nested,1000,1,31,31,0.000030999969000031
145,1148255,2,nested,1000,0,31,31,0.000030999969000031
145,1148255,2,nested,1000,1,31,31,0.000030999969000031
146,1156174,2,nested,1000,0,31,31,0.000030999969000031
146,1156174,2,nested,1000,1,31,31,0.000030999969000031
147,1164093,2,nested,1000,0,31,31,0.000030999969000031
147,1164093,2,nested,1000,1,31,31,0.000030999969000031
148,1172012,2,nested,1000,0,31,31,0.000030999969000031
148,1172012,2,nested,1000,1,31,31,0.000030999969000031
149,1179931,2,nested,1000,0,31,31,0.000030999969000031
149,1179931,2,nested,1000,1,31,31,0.000030999969000031
150,1187850,2,flat,1000,0,1000,1000,0.000999999000001
150,1187850,2,flat,1000,1,1000,1000,0.000999999000001
151,1195769,2,flat,1000,0,1000,1000,0.000999999000001
151,1195769,2,flat,1000,1,1000,1000,0.000999999000001
152,1203688,2,flat,1000,0,1000,1000,0.000999999000001
152,1203688,2,flat,1000,1,1000,1000,0.000999999000001
153,1211607,2,flat,1000,0,998,1000,0.000997999002000998
153,1211607,2,flat,1000,1,997,1000,0.000996999003000997
154,1219526,2,flat,1000,0,999,1000,0.000998999001000999
154,1219526,2,flat,1000,1,999,1000,0.000998999001000999
155,1227445,2,flat,1000,0,1000,1000,0.000999999000001
155,1227445,2,flat,1000,1,1000,1000,0.000999999000001
156,1235364,2,flat,1000,0,1000,1000,0.000999999000001
156,1235364,2,flat,1000,1,1000,1000,0.000999999000001
157,1243283,2,flat,1000,0,998,1000,0.000997999002000998
157,1243283,2,flat,1000,1,1000,1000,0.000999999000001
158,1251202,2,flat,1000,0,999,1000,0.000998999001000999
158,1251202,2,flat,1000,1,997,1000,0.000996999003000997
159,1259121,2,flat,1000,0,999,1000,0.000998999001000999
159,1259121,2,flat,1000,1,999,1000,0.000998999001000999
160,1267040,2,flat,1000,0,1000,1000,0.000999999000001
160,1267040,2,flat,1000,1,1000,1000,0.000999999000001
161,1274959,2,flat,1000,0,1000,1000,0.000999999000001
161,1274959,2,flat,1000,1,1000,1000,0.000999999000001
162,1282878,2,flat,1000,0,1000,1000,0.000999999000001
162,1282878,2,flat,1000,1,1000,1000,0.000999999000001
163,1290797,2,flat,1000,0,1000,1000,0.000999999000001
163,1290797,2,flat,1000,1,1000,1000,0.000999999000001
164,1298716,2,flat,1000,0,998,1000,0.000997999002000998
164,1298716,2,flat,1000,1,1000,1000,0.000999999000001
165,1306635,2,flat,1000,0,1000,1000,0.000999999000001
165,1306635,2,flat,1000,1,1000,1000,0.000999999000001
166,1314554,2,flat,1000,0,1000,1000,0.000999999000001
166,1314554,2,flat,1000,1,1000,1000,0.000999999000001
167,1322473,2,flat,1000,0,999,1000,0.000998999001000999
