trial_id,seed,pass_rate,sample_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
15,118785,0.01,5,10,11,7.00,18.00,11.00,true,0.100000
15,118785,0.01,10,10,9,6.00,14.00,8.00,true,0.100000
15,118785,0.01,25,10,10,7.00,13.00,6.00,true,0.000000
15,118785,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
15,118785,0.01,100,10,9,8.00,12.00,4.00,true,0.100000
15,118785,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
15,118785,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
16,126704,0.01,1,10,17,10.00,27.00,17.00,true,0.700000
16,126704,0.01,5,10,15,10.00,24.00,14.00,true,0.500000
16,126704,0.01,10,10,14,10.00,21.00,11.00,true,0.400000
16,126704,0.01,25,10,11,8.00,16.00,8.00,true,0.100000
16,126704,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
16,126704,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
16,126704,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
16,126704,0.01,500,10,10,8.00,11.00,3.00,true,0.000000
17,134623,0.01,1,10,16,10.00,26.00,16.00,true,0.600000
17,134623,0.01,5,10,12,7.00,18.00,11.00,true,0.200000
17,134623,0.01,10,10,12,8.00,18.00,10.00,true,0.200000
17,134623,0.01,25,10,12,9.00,17.00,8.00,true,0.200000
17,134623,0.01,50,10,11,9.00,14.00,5.00,true,0.100000
17,134623,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
17,134623,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
17,134623,0.01,500,10,11,10.00,12.00,2.00,true,0.100000
18,142542,0.01,1,10,15,9.00,24.00,15.00,true,0.500000
18,142542,0.01,5,10,13,8.00,20.00,12.00,true,0.300000
18,142542,0.01,10,10,9,6.00,14.00,8.00,true,0.100000
18,142542,0.01,25,10,8,6.00,11.00,5.00,true,0.200000
18,142542,0.01,50,10,9,7.00,12.00,5.00,true,0.100000
18,142542,0.01,100,10,9,7.00,11.00,4.00,true,0.100000
18,142542,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
18,142542,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
19,150461,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
19,150461,0.01,5,10,18,12.00,28.00,16.00,false,0.800000
19,150461,0.01,10,10,12,8.00,17.00,9.00,true,0.200000
19,150461,0.01,25,10,12,9.00,16.00,7.00,true,0.200000
19,150461,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
19,150461,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
19,150461,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
19,150461,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
20,158380,0.01,1,10,13,8.00,21.00,13.00,true,0.300000
20,158380,0.01,5,10,11,7.00,17.00,10.00,true,0.100000
20,158380,0.01,10,10,12,8.00,17.00,9.00,true,0.200000
20,158380,0.01,25,10,11,8.00,15.00,7.00,true,0.100000
20,158380,0.01,50,10,11,9.00,15.00,6.00,true,0.100000
20,158380,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
20,158380,0.01,200,10,11,10.00,13.00,3.00,true,0.100000
