trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
140,118785,sparse,double_negation,0.0001,500,false,500,505,,0,0
141,126704,sparse,double_negation,0.0001,500,false,500,391,,0,0
142,134623,sparse,double_negation,0.0001,500,false,500,390,,0,0
143,142542,sparse,double_negation,0.0001,500,false,500,388,,0,0
144,150461,sparse,double_negation,0.0001,500,false,500,495,,0,0
145,158380,sparse,double_negation,0.0001,500,false,500,393,,0,0
146,166299,sparse,double_negation,0.0001,500,false,500,409,,0,0
147,174218,sparse,double_negation,0.0001,500,false,500,385,,0,0
148,182137,sparse,double_negation,0.0001,500,false,500,466,,0,0
149,190056,sparse,double_negation,0.0001,500,false,500,380,,0,0
150,0,rare,first_class,0.01,100,true,35,110,328700,0,0
151,7919,rare,first_class,0.01,100,true,1,23,690100,0,0
152,15838,rare,first_class,0.01,100,true,15,30,113100,0,0
153,23757,rare,first_class,0.01,100,true,34,46,74700,0,0
154,31676,rare,first_class,0.01,100,true,22,35,784800,0,0
155,39595,rare,first_class,0.01,100,true,88,106,12100,0,0
156,47514,rare,first_class,0.01,100,false,100,90,,0,0
157,55433,rare,first_class,0.01,100,true,24,37,189300,0,0
158,63352,rare,first_class,0.01,100,false,100,98,,0,0
159,71271,rare,first_class,0.01,100,true,48,62,21300,0,0
160,79190,rare,first_class,0.01,100,true,28,44,857600,0,0
161,87109,rare,first_class,0.01,100,true,4,21,121500,0,0
162,95028,rare,first_class,0.01,100,true,79,81,499400,0,0
163,102947,rare,first_class,0.01,100,false,100,86,,0,0
164,110866,rare,first_class,0.01,100,true,46,47,162200,0,0
165,118785,rare,first_class,0.01,100,true,67,63,170800,0,0
166,126704,rare,first_class,0.01,100,true,43,45,536400,0,0
167,134623,rare,first_class,0.01,100,true,1,15,27700,0,0
168,142542,rare,first_class,0.01,100,false,100,86,,0,0
169,150461,rare,first_class,0.01,100,false,100,84,,0,0
170,158380,rare,first_class,0.01,100,false,100,85,,0,0
171,166299,rare,first_class,0.01,100,true,19,28,943600,0,0
172,174218,rare,first_class,0.01,100,true,10,22,920100,0,0
173,182137,rare,first_class,0.01,100,true,20,29,112900,0,0
174,190056,rare,first_class,0.01,100,false,100,158,,0,0
175,0,rare,double_negation,0.01,100,true,35,62,328700,0,0
176,7919,rare,double_negation,0.01,100,true,1,23,690100,0,0
177,15838,rare,double_negation,0.01,100,true,15,31,113100,0,0
178,23757,rare,double_negation,0.01,100,true,34,44,74700,0,0
179,31676,rare,double_negation,0.01,100,true,22,36,784800,0,0
180,39595,rare,double_negation,0.01,100,true,88,91,12100,0,0
181,47514,rare,double_negation,0.01,100,false,100,88,,0,0
182,55433,rare,double_negation,0.01,100,true,24,36,189300,0,0
183,63352,rare,double_negation,0.01,100,false,100,95,,0,0
184,71271,rare,double_negation,0.01,100,true,48,66,21300,0,0
185,79190,rare,double_negation,0.01,100,true,28,48,857600,0,0
186,87109,rare,double_negation,0.01,100,true,4,24,121500,0,0
187,95028,rare,double_negation,0.01,100,true,79,77,499400,0,0
188,102947,rare,double_negation,0.01,100,false,100,85,,0,0
189,110866,rare,double_negation,0.01,100,true,46,48,162200,0,0
190,118785,rare,double_negation,0.01,100,true,67,62,170800,0,0
191,126704,rare,double_negation,0.01,100,true,43,45,536400,0,0
192,134623,rare,double_negation,0.01,100,true,1,26,27700,0,0
193,142542,rare,double_negation,0.01,100,false,100,94,,0,0
194,150461,rare,double_negation,0.01,100,false,100,96,,0,0
195,158380,rare,double_negation,0.01,100,false,100,85,,0,0
196,166299,rare,double_negation,0.01,100,true,19,29,943600,0,0
197,174218,rare,double_negation,0.01,100,true,10,22,920100,0,0
198,182137,rare,double_negation,0.01,100,true,20,29,112900,0,0
199,190056,rare,double_negation,0.01,100,false,100,85,,0,0
200,0,rare,first_class,0.01,200,true,35,45,328700,0,0
201,7919,rare,first_class,0.01,200,true,1,18,690100,0,0
202,15838,rare,first_class,0.01,200,true,15,27,113100,0,0
203,23757,rare,first_class,0.01,200,true,34,40,74700,0,0
204,31676,rare,first_class,0.01,200,true,22,32,784800,0,0
205,39595,rare,first_class,0.01,200,true,88,79,12100,0,0
206,47514,rare,first_class,0.01,200,false,200,237,,0,0
207,55433,rare,first_class,0.01,200,true,24,35,189300,0,0
208,63352,rare,first_class,0.01,200,false,200,158,,0,0
209,71271,rare,first_class,0.01,200,true,48,50,21300,0,0
