trial_id,seed,arbitrary_type,sampler_type,requested_count,actual_count,unique_count,termination_guard_triggered,elapsed_micros
197,1560043,exact,deduping,10,10,10,false,1
198,1567962,exact,deduping,10,10,10,false,1
199,1575881,exact,deduping,10,10,10,false,1
200,0,exact,deduping,50,50,50,false,11
201,7919,exact,deduping,50,50,50,false,7
202,15838,exact,deduping,50,50,50,false,7
203,23757,exact,deduping,50,50,50,false,6
204,31676,exact,deduping,50,50,50,false,6
205,39595,exact,deduping,50,50,50,false,7
206,47514,exact,deduping,50,50,50,false,6
207,55433,exact,deduping,50,50,50,false,7
208,63352,exact,deduping,50,50,50,false,7
209,71271,exact,deduping,50,50,50,false,6
210,79190,exact,deduping,50,50,50,false,6
211,87109,exact,deduping,50,50,50,false,6
212,95028,exact,deduping,50,50,50,false,6
213,102947,exact,deduping,50,50,50,false,6
214,110866,exact,deduping,50,50,50,false,7
215,118785,exact,deduping,50,50,50,false,6
216,126704,exact,deduping,50,50,50,false,6
217,134623,exact,deduping,50,50,50,false,6
218,142542,exact,deduping,50,50,50,false,6
219,150461,exact,deduping,50,50,50,false,6
220,158380,exact,deduping,50,50,50,false,7
221,166299,exact,deduping,50,50,50,false,6
222,174218,exact,deduping,50,50,50,false,8
223,182137,exact,deduping,50,50,50,false,7
224,190056,exact,deduping,50,50,50,false,7
225,197975,exact,deduping,50,50,50,false,7
226,205894,exact,deduping,50,50,50,false,7
227,213813,exact,deduping,50,50,50,false,7
228,221732,exact,deduping,50,50,50,false,6
229,229651,exact,deduping,50,50,50,false,7
230,237570,exact,deduping,50,50,50,false,7
231,245489,exact,deduping,50,50,50,false,6
232,253408,exact,deduping,50,50,50,false,7
233,261327,exact,deduping,50,50,50,false,7
234,269246,exact,deduping,50,50,50,false,6
235,277165,exact,deduping,50,50,50,false,7
236,285084,exact,deduping,50,50,50,false,6
237,293003,exact,deduping,50,50,50,false,6
238,300922,exact,deduping,50,50,50,false,6
239,308841,exact,deduping,50,50,50,false,6
240,316760,exact,deduping,50,50,50,false,7
241,324679,exact,deduping,50,50,50,false,7
242,332598,exact,deduping,50,50,50,false,10
243,340517,exact,deduping,50,50,50,false,6
244,348436,exact,deduping,50,50,50,false,6
245,356355,exact,deduping,50,50,50,false,6
246,364274,exact,deduping,50,50,50,false,6
247,372193,exact,deduping,50,50,50,false,6
248,380112,exact,deduping,50,50,50,false,6
249,388031,exact,deduping,50,50,50,false,7
250,395950,exact,deduping,50,50,50,false,6
251,403869,exact,deduping,50,50,50,false,7
252,411788,exact,deduping,50,50,50,false,7
253,419707,exact,deduping,50,50,50,false,6
254,427626,exact,deduping,50,50,50,false,6
255,435545,exact,deduping,50,50,50,false,9
256,443464,exact,deduping,50,50,50,false,6
257,451383,exact,deduping,50,50,50,false,7
258,459302,exact,deduping,50,50,50,false,7
259,467221,exact,deduping,50,50,50,false,7
260,475140,exact,deduping,50,50,50,false,6
261,483059,exact,deduping,50,50,50,false,7
262,490978,exact,deduping,50,50,50,false,8
263,498897,exact,deduping,50,50,50,false,7
264,506816,exact,deduping,50,50,50,false,7
265,514735,exact,deduping,50,50,50,false,7
266,522654,exact,deduping,50,50,50,false,7
267,530573,exact,deduping,50,50,50,false,5
268,538492,exact,deduping,50,50,50,false,6
269,546411,exact,deduping,50,50,50,false,7
270,554330,exact,deduping,50,50,50,false,6
271,562249,exact,deduping,50,50,50,false,7
272,570168,exact,deduping,50,50,50,false,6
273,578087,exact,deduping,50,50,50,false,7
274,586006,exact,deduping,50,50,50,false,6
275,593925,exact,deduping,50,50,50,false,7
276,601844,exact,deduping,50,50,50,false,6
277,609763,exact,deduping,50,50,50,false,6
278,617682,exact,deduping,50,50,50,false,6
279,625601,exact,deduping,50,50,50,false,5
280,633520,exact,deduping,50,50,50,false,6
281,641439,exact,deduping,50,50,50,false,7
282,649358,exact,deduping,50,50,50,false,6
283,657277,exact,deduping,50,50,50,false,28
284,665196,exact,deduping,50,50,50,false,7
285,673115,exact,deduping,50,50,50,false,6
286,681034,exact,deduping,50,50,50,false,7
287,688953,exact,deduping,50,50,50,false,7
288,696872,exact,deduping,50,50,50,false,7
289,704791,exact,deduping,50,50,50,false,6
290,712710,exact,deduping,50,50,50,false,7
291,720629,exact,deduping,50,50,50,false,7
292,728548,exact,deduping,50,50,50,false,7
293,736467,exact,deduping,50,50,50,false,6
294,744386,exact,deduping,50,50,50,false,8
295,752305,exact,deduping,50,50,50,false,8
296,760224,exact,deduping,50,50,50,false,8
297,768143,exact,deduping,50,50,50,false,6
298,776062,exact,deduping,50,50,50,false,8
299,783981,exact,deduping,50,50,50,false,9
300,791900,exact,deduping,50,50,50,false,7
301,799819,exact,deduping,50,50,50,false,6
302,807738,exact,deduping,50,50,50,false,6
303,815657,exact,deduping,50,50,50,false,8
304,823576,exact,deduping,50,50,50,false,21
305,831495,exact,deduping,50,50,50,false,7
306,839414,exact,deduping,50,50,50,false,7
307,847333,exact,deduping,50,50,50,false,6
308,855252,exact,deduping,50,50,50,false,7
309,863171,exact,deduping,50,50,50,false,8
310,871090,exact,deduping,50,50,50,false,8
311,879009,exact,deduping,50,50,50,false,7
312,886928,exact,deduping,50,50,50,false,6
313,894847,exact,deduping,50,50,50,false,8
314,902766,exact,deduping,50,50,50,false,7
315,910685,exact,deduping,50,50,50,false,6
316,918604,exact,deduping,50,50,50,false,6
317,926523,exact,deduping,50,50,50,false,7
318,934442,exact,deduping,50,50,50,false,8
319,942361,exact,deduping,50,50,50,false,7
320,950280,exact,deduping,50,50,50,false,7
321,958199,exact,deduping,50,50,50,false,8
322,966118,exact,deduping,50,50,50,false,10
323,974037,exact,deduping,50,50,50,false,9
324,981956,exact,deduping,50,50,50,false,6
325,989875,exact,deduping,50,50,50,false,16
326,997794,exact,deduping,50,50,50,false,8
327,1005713,exact,deduping,50,50,50,false,7
