trial_id,seed,length_distribution,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
249,1971831,uniform,empty,true,7,7,1
250,1979750,uniform,empty,true,7,7,1
251,1987669,uniform,empty,true,8,8,3
252,1995588,uniform,empty,true,2,2,0
253,2003507,uniform,empty,true,7,7,1
254,2011426,uniform,empty,true,1,1,0
255,2019345,uniform,empty,true,5,5,1
256,2027264,uniform,empty,true,14,14,2
257,2035183,uniform,empty,true,14,14,16
258,2043102,uniform,empty,true,16,16,3
259,2051021,uniform,empty,true,3,3,2
260,2058940,uniform,empty,true,14,14,2
261,2066859,uniform,empty,true,11,11,4
262,2074778,uniform,empty,true,17,17,2
263,2082697,uniform,empty,true,21,21,4
264,2090616,uniform,empty,true,28,28,15
265,2098535,uniform,empty,true,6,6,1
266,2106454,uniform,empty,true,4,4,14
267,2114373,uniform,empty,true,4,4,0
268,2122292,uniform,empty,true,28,28,5
269,2130211,uniform,empty,true,18,18,4
270,2138130,uniform,empty,true,1,1,0
271,2146049,uniform,empty,true,1,1,0
272,2153968,uniform,empty,true,11,11,2
273,2161887,uniform,empty,true,13,13,3
274,2169806,uniform,empty,true,1,1,0
275,2177725,uniform,empty,true,2,2,0
276,2185644,uniform,empty,true,4,4,0
277,2193563,uniform,empty,true,21,21,4
278,2201482,uniform,empty,true,3,3,0
279,2209401,uniform,empty,true,1,1,0
280,2217320,uniform,empty,true,13,13,3
281,2225239,uniform,empty,true,1,1,0
282,2233158,uniform,empty,true,15,15,63
283,2241077,uniform,empty,true,7,7,0
284,2248996,uniform,empty,true,3,3,0
285,2256915,uniform,empty,true,3,3,0
286,2264834,uniform,empty,true,2,2,0
287,2272753,uniform,empty,true,19,19,4
288,2280672,uniform,empty,true,8,8,1
289,2288591,uniform,empty,true,8,8,1
290,2296510,uniform,empty,true,7,7,1
291,2304429,uniform,empty,true,6,6,1
292,2312348,uniform,empty,true,12,12,3
293,2320267,uniform,empty,true,5,5,1
294,2328186,uniform,empty,true,8,8,6
295,2336105,uniform,empty,true,4,4,0
296,2344024,uniform,empty,true,25,25,5
297,2351943,uniform,empty,true,47,47,11
298,2359862,uniform,empty,true,1,1,0
299,2367781,uniform,empty,true,4,4,0
300,2375700,uniform,empty,true,23,23,5
301,2383619,uniform,empty,true,5,5,0
302,2391538,uniform,empty,true,9,9,2
303,2399457,uniform,empty,true,14,14,2
304,2407376,uniform,empty,true,18,18,12
305,2415295,uniform,empty,true,2,2,0
306,2423214,uniform,empty,true,7,7,1
307,2431133,uniform,empty,true,73,73,14
308,2439052,uniform,empty,true,17,17,3
309,2446971,uniform,empty,true,7,7,1
310,2454890,uniform,empty,true,3,3,0
311,2462809,uniform,empty,true,3,3,1
312,2470728,uniform,empty,true,6,6,0
313,2478647,uniform,empty,true,5,5,0
314,2486566,uniform,empty,true,49,49,10
315,2494485,uniform,empty,true,22,22,5
316,2502404,uniform,empty,true,25,25,4
317,2510323,uniform,empty,true,6,6,0
318,2518242,uniform,empty,true,15,15,3
319,2526161,uniform,empty,true,5,5,0
320,2534080,uniform,empty,true,1,1,0
321,2541999,uniform,empty,true,7,7,1
322,2549918,uniform,empty,true,2,2,0
323,2557837,uniform,empty,true,3,3,0
324,2565756,uniform,empty,true,21,21,2
325,2573675,uniform,empty,true,5,5,2
326,2581594,uniform,empty,true,32,32,6
327,2589513,uniform,empty,true,5,5,0
328,2597432,uniform,empty,true,7,7,1
329,2605351,uniform,empty,true,17,17,10
330,2613270,uniform,empty,true,14,14,9
331,2621189,uniform,empty,true,16,16,15
332,2629108,uniform,empty,true,6,6,1
333,2637027,uniform,empty,true,1,1,0
334,2644946,uniform,empty,true,4,4,0
335,2652865,uniform,empty,true,37,37,8
336,2660784,uniform,empty,true,29,29,5
337,2668703,uniform,empty,true,15,15,2
338,2676622,uniform,empty,true,1,1,0
339,2684541,uniform,empty,true,3,3,1
340,2692460,uniform,empty,true,18,18,2
341,2700379,uniform,empty,true,1,1,0
342,2708298,uniform,empty,true,8,8,2
343,2716217,uniform,empty,true,1,1,0
344,2724136,uniform,empty,true,6,6,0
345,2732055,uniform,empty,true,51,51,10
346,2739974,uniform,empty,true,5,5,0
347,2747893,uniform,empty,true,7,7,1
348,2755812,uniform,empty,true,5,5,2
349,2763731,uniform,empty,true,2,2,0
350,2771650,uniform,empty,true,6,6,1
351,2779569,uniform,empty,true,16,16,4
352,2787488,uniform,empty,true,9,9,1
353,2795407,uniform,empty,true,5,5,0
354,2803326,uniform,empty,true,2,2,0
355,2811245,uniform,empty,true,3,3,0
