trial_id,seed,sampler_type,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
207,1639233,biased,boundary_min,true,1,1,34
208,1647152,biased,boundary_min,true,1,1,24
209,1655071,biased,boundary_min,true,1,1,21
210,1662990,biased,boundary_min,true,1,1,26
211,1670909,biased,boundary_min,true,1,1,19
212,1678828,biased,boundary_min,true,1,1,29
213,1686747,biased,boundary_min,true,1,1,19
214,1694666,biased,boundary_min,true,1,1,67
215,1702585,biased,boundary_min,true,1,1,45
216,1710504,biased,boundary_min,true,1,1,21
217,1718423,biased,boundary_min,true,1,1,35
218,1726342,biased,boundary_min,true,1,1,19
219,1734261,biased,boundary_min,true,1,1,18
220,1742180,biased,boundary_min,true,1,1,18
221,1750099,biased,boundary_min,true,1,1,18
222,1758018,biased,boundary_min,true,1,1,18
223,1765937,biased,boundary_min,true,1,1,18
224,1773856,biased,boundary_min,true,1,1,19
225,1781775,biased,boundary_min,true,1,1,18
226,1789694,biased,boundary_min,true,1,1,22
227,1797613,biased,boundary_min,true,1,1,18
228,1805532,biased,boundary_min,true,1,1,19
229,1813451,biased,boundary_min,true,1,1,18
230,1821370,biased,boundary_min,true,1,1,21
231,1829289,biased,boundary_min,true,1,1,19
232,1837208,biased,boundary_min,true,1,1,20
233,1845127,biased,boundary_min,true,1,1,18
234,1853046,biased,boundary_min,true,1,1,18
235,1860965,biased,boundary_min,true,1,1,22
236,1868884,biased,boundary_min,true,1,1,18
237,1876803,biased,boundary_min,true,1,1,18
238,1884722,biased,boundary_min,true,1,1,19
239,1892641,biased,boundary_min,true,1,1,18
240,1900560,biased,boundary_min,true,1,1,18
241,1908479,biased,boundary_min,true,1,1,18
242,1916398,biased,boundary_min,true,1,1,19
243,1924317,biased,boundary_min,true,1,1,28
244,1932236,biased,boundary_min,true,1,1,19
245,1940155,biased,boundary_min,true,1,1,19
246,1948074,biased,boundary_min,true,1,1,18
247,1955993,biased,boundary_min,true,1,1,18
248,1963912,biased,boundary_min,true,1,1,18
249,1971831,biased,boundary_min,true,1,1,18
250,1979750,biased,boundary_min,true,1,1,19
251,1987669,biased,boundary_min,true,1,1,27
252,1995588,biased,boundary_min,true,1,1,21
253,2003507,biased,boundary_min,true,1,1,18
254,2011426,biased,boundary_min,true,1,1,26
255,2019345,biased,boundary_min,true,1,1,85
256,2027264,biased,boundary_min,true,1,1,25
257,2035183,biased,boundary_min,true,1,1,19
258,2043102,biased,boundary_min,true,1,1,29
259,2051021,biased,boundary_min,true,1,1,37
260,2058940,biased,boundary_min,true,1,1,27
261,2066859,biased,boundary_min,true,1,1,26
262,2074778,biased,boundary_min,true,1,1,20
263,2082697,biased,boundary_min,true,1,1,27
264,2090616,biased,boundary_min,true,1,1,23
265,2098535,biased,boundary_min,true,1,1,18
266,2106454,biased,boundary_min,true,1,1,23
267,2114373,biased,boundary_min,true,1,1,22
268,2122292,biased,boundary_min,true,1,1,20
269,2130211,biased,boundary_min,true,1,1,21
270,2138130,biased,boundary_min,true,1,1,18
271,2146049,biased,boundary_min,true,1,1,25
272,2153968,biased,boundary_min,true,1,1,18
273,2161887,biased,boundary_min,true,1,1,17
274,2169806,biased,boundary_min,true,1,1,31
275,2177725,biased,boundary_min,true,1,1,19
276,2185644,biased,boundary_min,true,1,1,17
277,2193563,biased,boundary_min,true,1,1,17
278,2201482,biased,boundary_min,true,1,1,17
279,2209401,biased,boundary_min,true,1,1,18
280,2217320,biased,boundary_min,true,1,1,19
281,2225239,biased,boundary_min,true,1,1,18
282,2233158,biased,boundary_min,true,1,1,18
283,2241077,biased,boundary_min,true,1,1,17
284,2248996,biased,boundary_min,true,1,1,23
285,2256915,biased,boundary_min,true,1,1,18
286,2264834,biased,boundary_min,true,1,1,202
287,2272753,biased,boundary_min,true,1,1,18
288,2280672,biased,boundary_min,true,1,1,17
289,2288591,biased,boundary_min,true,1,1,16
290,2296510,biased,boundary_min,true,1,1,16
291,2304429,biased,boundary_min,true,1,1,25
292,2312348,biased,boundary_min,true,1,1,17
293,2320267,biased,boundary_min,true,1,1,17
294,2328186,biased,boundary_min,true,1,1,17
295,2336105,biased,boundary_min,true,1,1,17
296,2344024,biased,boundary_min,true,1,1,23
297,2351943,biased,boundary_min,true,1,1,16
298,2359862,biased,boundary_min,true,1,1,17
299,2367781,biased,boundary_min,true,1,1,16
300,2375700,biased,boundary_min,true,1,1,16
301,2383619,biased,boundary_min,true,1,1,16
302,2391538,biased,boundary_min,true,1,1,16
303,2399457,biased,boundary_min,true,1,1,16
304,2407376,biased,boundary_min,true,1,1,16
305,2415295,biased,boundary_min,true,1,1,16
306,2423214,biased,boundary_min,true,1,1,16
307,2431133,biased,boundary_min,true,1,1,16
308,2439052,biased,boundary_min,true,1,1,17
309,2446971,biased,boundary_min,true,1,1,27
310,2454890,biased,boundary_min,true,1,1,17
311,2462809,biased,boundary_min,true,1,1,16
312,2470728,biased,boundary_min,true,1,1,17
313,2478647,biased,boundary_min,true,1,1,16
314,2486566,biased,boundary_min,true,1,1,16
315,2494485,biased,boundary_min,true,1,1,16
316,2502404,biased,boundary_min,true,1,1,17
317,2510323,biased,boundary_min,true,1,1,29
318,2518242,biased,boundary_min,true,1,1,24
319,2526161,biased,boundary_min,true,1,1,17
