trial_id,seed,scenario,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value
344,2724136,rare,0.01,200,true,59,47,"{""x"":336600}"
345,2732055,rare,0.01,200,true,87,188,"{""x"":332300}"
346,2739974,rare,0.01,200,true,64,52,"{""x"":332300}"
347,2747893,rare,0.01,200,true,80,61,"{""x"":293100}"
348,2755812,rare,0.01,200,true,142,97,"{""x"":644500}"
349,2763731,rare,0.01,200,false,200,128,
350,2771650,rare,0.01,500,true,197,133,"{""x"":198500}"
351,2779569,rare,0.01,500,true,146,101,"{""x"":851500}"
352,2787488,rare,0.01,500,true,80,64,"{""x"":704900}"
353,2795407,rare,0.01,500,true,10,24,"{""x"":351800}"
354,2803326,rare,0.01,500,true,37,39,"{""x"":121000}"
355,2811245,rare,0.01,500,true,45,44,"{""x"":902600}"
356,2819164,rare,0.01,500,true,16,35,"{""x"":579000}"
357,2827083,rare,0.01,500,true,50,48,"{""x"":260200}"
358,2835002,rare,0.01,500,true,342,220,"{""x"":723300}"
359,2842921,rare,0.01,500,true,183,125,"{""x"":479800}"
360,2850840,rare,0.01,500,true,39,166,"{""x"":487500}"
361,2858759,rare,0.01,500,true,129,102,"{""x"":644300}"
362,2866678,rare,0.01,500,true,266,188,"{""x"":686100}"
363,2874597,rare,0.01,500,true,28,35,"{""x"":582600}"
364,2882516,rare,0.01,500,true,27,33,"{""x"":449100}"
365,2890435,rare,0.01,500,true,6,22,"{""x"":907800}"
366,2898354,rare,0.01,500,true,61,52,"{""x"":252600}"
367,2906273,rare,0.01,500,true,267,169,"{""x"":226300}"
368,2914192,rare,0.01,500,true,41,41,"{""x"":881800}"
369,2922111,rare,0.01,500,true,52,47,"{""x"":842300}"
370,2930030,rare,0.01,500,true,14,25,"{""x"":65600}"
371,2937949,rare,0.01,500,true,7,21,"{""x"":836200}"
372,2945868,rare,0.01,500,true,69,56,"{""x"":926600}"
373,2953787,rare,0.01,500,true,6,21,"{""x"":157800}"
374,2961706,rare,0.01,500,true,249,158,"{""x"":937700}"
375,2969625,rare,0.01,500,true,36,38,"{""x"":328200}"
376,2977544,rare,0.01,500,true,83,63,"{""x"":606300}"
377,2985463,rare,0.01,500,true,24,31,"{""x"":290400}"
378,2993382,rare,0.01,500,true,77,69,"{""x"":255700}"
379,3001301,rare,0.01,500,true,204,226,"{""x"":958800}"
380,3009220,rare,0.01,500,true,32,36,"{""x"":898200}"
381,3017139,rare,0.01,500,true,122,86,"{""x"":630000}"
382,3025058,rare,0.01,500,true,36,37,"{""x"":115100}"
383,3032977,rare,0.01,500,true,249,157,"{""x"":664700}"
384,3040896,rare,0.01,500,true,137,94,"{""x"":907200}"
385,3048815,rare,0.01,500,true,196,126,"{""x"":653900}"
386,3056734,rare,0.01,500,true,412,248,"{""x"":224700}"
387,3064653,rare,0.01,500,true,44,42,"{""x"":170800}"
388,3072572,rare,0.01,500,true,35,38,"{""x"":275200}"
389,3080491,rare,0.01,500,true,58,49,"{""x"":65300}"
390,3088410,rare,0.01,500,true,156,105,"{""x"":400600}"
391,3096329,rare,0.01,500,true,305,270,"{""x"":937900}"
392,3104248,rare,0.01,500,true,35,38,"{""x"":485300}"
393,3112167,rare,0.01,500,true,76,60,"{""x"":688200}"
394,3120086,rare,0.01,500,true,37,38,"{""x"":768800}"
395,3128005,rare,0.01,500,true,235,149,"{""x"":180000}"
396,3135924,rare,0.01,500,true,79,61,"{""x"":870300}"
397,3143843,rare,0.01,500,true,157,144,"{""x"":341600}"
398,3151762,rare,0.01,500,true,32,35,"{""x"":193600}"
399,3159681,rare,0.01,500,true,44,41,"{""x"":118100}"
400,3167600,moderate,0.1,50,true,1,37,"{""x"":876220}"
401,3175519,moderate,0.1,50,true,6,18,"{""x"":308980}"
402,3183438,moderate,0.1,50,true,2,16,"{""x"":553160}"
403,3191357,moderate,0.1,50,true,9,21,"{""x"":134680}"
404,3199276,moderate,0.1,50,true,20,24,"{""x"":172580}"
405,3207195,moderate,0.1,50,true,5,15,"{""x"":186400}"
406,3215114,moderate,0.1,50,true,7,16,"{""x"":72100}"
407,3223033,moderate,0.1,50,true,2,14,"{""x"":6980}"
408,3230952,moderate,0.1,50,true,17,22,"{""x"":521840}"
409,3238871,moderate,0.1,50,true,2,24,"{""x"":767990}"
410,3246790,moderate,0.1,50,true,5,76,"{""x"":911550}"
411,3254709,moderate,0.1,50,true,12,20,"{""x"":775610}"
412,3262628,moderate,0.1,50,true,4,15,"{""x"":571530}"
413,3270547,moderate,0.1,50,true,4,15,"{""x"":56440}"
414,3278466,moderate,0.1,50,true,22,31,"{""x"":441930}"
415,3286385,moderate,0.1,50,true,1,13,"{""x"":835070}"
416,3294304,moderate,0.1,50,true,3,14,"{""x"":239130}"
417,3302223,moderate,0.1,50,true,14,29,"{""x"":375770}"
418,3310142,moderate,0.1,50,true,21,30,"{""x"":151350}"
419,3318061,moderate,0.1,50,true,1,20,"{""x"":476460}"
420,3325980,moderate,0.1,50,true,16,29,"{""x"":315110}"
421,3333899,moderate,0.1,50,true,1,21,"{""x"":644480}"
422,3341818,moderate,0.1,50,true,10,18,"{""x"":432410}"
423,3349737,moderate,0.1,50,true,1,12,"{""x"":733880}"
424,3357656,moderate,0.1,50,true,13,22,"{""x"":743460}"
425,3365575,moderate,0.1,50,true,8,22,"{""x"":458490}"
426,3373494,moderate,0.1,50,true,7,16,"{""x"":472040}"
427,3381413,moderate,0.1,50,true,13,22,"{""x"":900440}"
428,3389332,moderate,0.1,50,true,17,21,"{""x"":580570}"
429,3397251,moderate,0.1,50,true,3,14,"{""x"":730520}"
