trial_id,seed,prior_alpha,prior_beta,prior_name,pass_rate,warmup_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error,bias,posterior_alpha,posterior_beta
64,506816,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1211.00
65,514735,2,1,"Beta(2,1)_current",0.01,10,10,15,9.00,25.00,16.00,true,0.500000,5.00,12.00,718.00
66,522654,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1357.00
67,530573,2,1,"Beta(2,1)_current",0.01,10,10,17,10.00,29.00,19.00,true,0.700000,7.00,12.00,628.00
68,538492,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1317.00
69,546411,2,1,"Beta(2,1)_current",0.01,10,10,14,8.00,23.00,15.00,true,0.400000,4.00,12.00,785.00
70,554330,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1114.00
71,562249,2,1,"Beta(2,1)_current",0.01,10,10,14,8.00,24.00,16.00,true,0.400000,4.00,12.00,777.00
72,570168,2,1,"Beta(2,1)_current",0.01,10,10,7,4.00,12.00,8.00,true,0.300000,-3.00,12.00,1638.00
73,578087,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,21.00,14.00,true,0.200000,2.00,12.00,893.00
74,586006,2,1,"Beta(2,1)_current",0.01,10,10,14,8.00,24.00,16.00,true,0.400000,4.00,12.00,776.00
75,593925,2,1,"Beta(2,1)_current",0.01,10,10,11,6.00,19.00,13.00,true,0.100000,1.00,12.00,996.00
76,601844,2,1,"Beta(2,1)_current",0.01,10,10,5,3.00,9.00,6.00,false,0.500000,-5.00,12.00,2015.00
77,609763,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,16.00,11.00,true,0.100000,-1.00,12.00,1170.00
78,617682,2,1,"Beta(2,1)_current",0.01,10,10,18,11.00,30.00,19.00,false,0.800000,8.00,12.00,593.00
79,625601,2,1,"Beta(2,1)_current",0.01,10,10,18,11.00,30.00,19.00,false,0.800000,8.00,12.00,599.00
80,633520,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1273.00
81,641439,2,1,"Beta(2,1)_current",0.01,10,10,22,13.00,37.00,24.00,false,1.200000,12.00,12.00,486.00
82,649358,2,1,"Beta(2,1)_current",0.01,10,10,13,8.00,22.00,14.00,true,0.300000,3.00,12.00,825.00
83,657277,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1218.00
84,665196,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1214.00
85,673115,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1223.00
